id,occurred_at,city,latitude,longitude,depth,magnitude,gasfield_id,year,magnitude_category
1,1986-12-26 07:47:00,Assen,52.992,6.548,1.0,2.8,,1986,2
2,1987-12-14 20:49:00,Hooghalen,52.928,6.552,1.5,2.5,,1987,2
3,1989-12-01 20:09:00,Kwadijk,52.529,4.971,1.2,2.7,,1989,2
4,1991-02-15 02:11:00,Emmen,52.771,6.914,3.0,2.2,,1991,2
5,1991-04-25 10:26:00,Eleveld,52.952,6.575,3.0,2.6,,1991,2
6,1991-08-08 04:01:00,Assen,52.965,6.573,3.0,2.7,,1991,2
7,1991-12-05 00:24:00,Middelstum,53.358,6.657,3.0,2.4,1.0,1991,2
8,1992-05-23 15:29:00,Geelbroek,52.953,6.572,3.0,2.6,,1992,2
9,1992-05-24 18:00:00,Assen,52.956,6.562,3.0,1.6,,1992,1
10,1992-06-11 17:09:00,Roswinkel,52.831,7.032,1.5,2.7,,1992,2
11,1992-07-22 23:23:00,Assen,52.961,6.57,3.0,2.6,,1992,2
12,1992-12-06 20:34:00,Loppersum,53.32,6.74,3.0,1.3,1.0,1992,1
13,1992-12-11 13:00:00,Froombosch,53.21,6.747,3.0,1.4,1.0,1992,1
14,1993-02-12 11:46:00,Tjuchem,53.294,6.868,3.0,1.0,1.0,1993,1
15,1993-03-05 22:27:00,Langelo,53.084,6.465,3.0,1.5,,1993,1
16,1993-03-12 22:12:00,Sappemeer,53.16,6.805,3.0,0.9,1.0,1993,0
17,1993-03-26 18:34:00,Overschild,53.285,6.795,3.0,1.1,1.0,1993,1
18,1993-05-05 20:08:00,Westerbroek,53.177,6.685,3.0,1.5,,1993,1
19,1993-05-14 19:39:00,Wirdum,53.305,6.793,3.0,1.1,1.0,1993,1
20,1993-06-27 02:08:00,Westerwijtwerd,53.316,6.65,3.0,1.4,1.0,1993,1
21,1993-06-27 02:57:00,Stedum,53.315,6.66,3.0,1.0,1.0,1993,1
22,1993-07-10 00:22:00,Oosterwijtwerd,53.333,6.837,3.0,1.4,1.0,1993,1
23,1993-07-27 13:39:00,Oosterwijtwerd,53.336,6.808,3.0,0.8,1.0,1993,0
24,1993-08-23 00:51:00,Appingedam,53.332,6.848,3.0,0.7,1.0,1993,0
25,1993-09-04 02:24:00,'t Zandt,53.363,6.765,3.0,1.4,1.0,1993,1
26,1993-09-22 17:37:00,Eppenhuizen,53.368,6.675,3.0,2.0,1.0,1993,2
27,1993-09-25 00:21:00,Slochteren,53.208,6.812,3.0,0.9,1.0,1993,0
28,1993-11-23 12:31:00,Slochteren,53.202,6.82,3.0,2.2,1.0,1993,2
29,1993-12-22 02:04:00,Ten Post,53.294,6.753,3.0,1.6,1.0,1993,1
30,1994-02-04 21:32:00,Garrelsweer,53.306,6.777,3.0,1.3,1.0,1994,1
31,1994-02-05 15:10:00,Roswinkel,52.833,7.045,1.5,2.9,,1994,2
32,1994-02-28 21:00:00,Garsthuizen,53.37,6.72,3.0,0.6,1.0,1994,0
33,1994-03-02 10:36:00,Overschild,53.279,6.807,3.0,1.5,1.0,1994,1
34,1994-03-06 20:02:00,Appingedam,53.323,6.805,3.0,1.0,1.0,1994,1
35,1994-03-14 09:31:00,Leermens,53.345,6.808,3.0,1.3,1.0,1994,1
36,1994-03-14 10:44:00,Zandeweer,53.39,6.68,3.0,1.6,1.0,1994,1
37,1994-03-14 22:32:00,Kolham,53.17,6.747,3.0,1.1,1.0,1994,1
38,1994-03-24 05:29:00,Farmsum,53.316,6.962,3.0,0.8,1.0,1994,0
39,1994-04-04 18:46:00,Overschild,53.275,6.828,3.0,1.3,1.0,1994,1
40,1994-05-07 20:08:00,Froombosch,53.194,6.798,3.0,1.0,1.0,1994,1
