id,occurred_at,city,latitude,longitude,depth,magnitude,gasfield_id,created_at,updated_at,knmi_guid,region,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,1986-12-26 07:47:00,Assen,52.992,6.548,1.0,2.8,,,,,Assen,66.0,68.0,68.0,69.0,94.0,95.0,97.0,98.0,148.0,149.0,161.0,173.0,181.0,182.0,181.0,177.0,170.0,162.0,159.0,159.0,168.0,172.0,184.0,195.0,210.0,237.0,278.0,284.0
2,1987-12-14 20:49:00,Hooghalen,52.928,6.552,1.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1989-12-01 20:09:00,Kwadijk,52.529,4.971,1.2,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1991-02-15 02:11:00,Emmen,52.771,6.914,3.0,2.2,,,,,Emmen,69.0,69.0,70.0,70.0,100.0,100.0,101.0,102.0,151.0,152.0,167.0,178.0,185.0,185.0,177.0,173.0,164.0,153.0,147.0,148.0,147.0,150.0,163.0,174.0,186.0,208.0,240.0,251.0
5,1991-04-25 10:26:00,Eleveld,52.952,6.575,3.0,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1991-08-08 04:01:00,Assen,52.965,6.573,3.0,2.7,,,,,Assen,66.0,68.0,68.0,69.0,94.0,95.0,97.0,98.0,148.0,149.0,161.0,173.0,181.0,182.0,181.0,177.0,170.0,162.0,159.0,159.0,168.0,172.0,184.0,195.0,210.0,237.0,278.0,284.0
7,1991-12-05 00:24:00,Middelstum,53.358,6.657,3.0,2.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1992-05-23 15:29:00,Geelbroek,52.953,6.572,3.0,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1992-05-24 18:00:00,Assen,52.956,6.562,3.0,1.6,,,,,Assen,66.0,68.0,68.0,69.0,94.0,95.0,97.0,98.0,148.0,149.0,161.0,173.0,181.0,182.0,181.0,177.0,170.0,162.0,159.0,159.0,168.0,172.0,184.0,195.0,210.0,237.0,278.0,284.0
10,1992-06-11 17:09:00,Roswinkel,52.831,7.032,1.5,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1992-07-22 23:23:00,Assen,52.961,6.57,3.0,2.6,,,,,Assen,66.0,68.0,68.0,69.0,94.0,95.0,97.0,98.0,148.0,149.0,161.0,173.0,181.0,182.0,181.0,177.0,170.0,162.0,159.0,159.0,168.0,172.0,184.0,195.0,210.0,237.0,278.0,284.0
12,1992-12-06 20:34:00,Loppersum,53.32,6.74,3.0,1.3,1.0,,,,Loppersum,49.0,50.0,50.0,50.0,87.0,87.0,88.0,88.0,139.0,140.0,156.0,171.0,177.0,177.0,174.0,171.0,165.0,152.0,145.0,143.0,144.0,149.0,161.0,175.0,,,,
13,1992-12-11 13:00:00,Froombosch,53.21,6.747,3.0,1.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
