region,period,total,total_occupied,total_not_occupied,oppucation_ratio
Nederland,01/01/2012,7386743,6975208,411535,0.944287354
Nederland,01/01/2013,7449298,7055105,394193,0.947083202
Nederland,01/01/2014,7535315,7143163,392152,0.947958115
Nederland,01/01/2015,7587964,7211229,376735,0.950350977
Nederland,01/01/2016,7641323,7276184,365139,0.952215212
Nederland,01/01/2017,7686178,7331144,355034,0.953808772
Nederland,01/01/2018,7740984,7398054,342930,0.95569943
Nederland,01/01/2019,7814912,7469356,345556,0.955782484
Nederland,01/01/2020,7891786,7547587,344199,0.956385158
Nederland,01/01/2021,7966331,7615576,350755,0.955970321
Nederland,01/01/2022,8045580,7704623,340957,0.957621825
Nederland,01/01/2023,8125229,7777143,348086,0.957159854
Groningen (PV),01/01/2012,265332,250946,14386,0.945781135
Groningen (PV),01/01/2013,267466,253549,13917,0.947967218
Groningen (PV),01/01/2014,271087,257294,13793,0.949119655
Groningen (PV),01/01/2015,272774,259458,13316,0.951183031
Groningen (PV),01/01/2016,274719,261641,13078,0.952394993
Groningen (PV),01/01/2017,276728,263918,12810,0.953709057
Groningen (PV),01/01/2018,277113,264623,12490,0.954928134
Groningen (PV),01/01/2019,279662,266736,12926,0.95377992
Groningen (PV),01/01/2020,282047,269174,12873,0.954358671
Groningen (PV),01/01/2021,285012,272092,12920,0.954668575
Groningen (PV),01/01/2022,287568,274319,13249,0.953927419
Groningen (PV),01/01/2023,290562,276283,14279,0.950857304
Fryslân (PV),01/01/2012,287340,270451,16889,0.941222941
Fryslân (PV),01/01/2013,289380,273618,15762,0.945531827
Fryslân (PV),01/01/2014,292180,276925,15255,0.947789034
Fryslân (PV),01/01/2015,294169,279129,15040,0.948872927
Fryslân (PV),01/01/2016,295540,280642,14898,0.94959058
Fryslân (PV),01/01/2017,296463,282194,14269,0.951869205
Fryslân (PV),01/01/2018,298425,284229,14196,0.952430259
Fryslân (PV),01/01/2019,300238,286136,14102,0.953030596
Fryslân (PV),01/01/2020,302578,288553,14025,0.953648315
Fryslân (PV),01/01/2021,304693,290482,14211,0.953359611
Fryslân (PV),01/01/2022,306633,293094,13539,0.95584624
Fryslân (PV),01/01/2023,308768,295028,13740,0.95550057
Drenthe (PV),01/01/2012,219432,202528,16904,0.922964745
Drenthe (PV),01/01/2013,214890,203396,11494,0.946512169
Drenthe (PV),01/01/2014,218025,206059,11966,0.945116386
Drenthe (PV),01/01/2015,218383,207047,11336,0.948091198
Drenthe (PV),01/01/2016,218625,208139,10486,0.952036592
Drenthe (PV),01/01/2017,219240,209596,9644,0.956011677
Drenthe (PV),01/01/2018,220818,211271,9547,0.9567653
Drenthe (PV),01/01/2019,222197,212724,9473,0.957366661
Drenthe (PV),01/01/2020,223251,214405,8846,0.960376437
Drenthe (PV),01/01/2021,224556,215801,8755,0.961011952
Drenthe (PV),01/01/2022,226319,217950,8369,0.963021222
Drenthe (PV),01/01/2023,227907,219060,8847,0.961181535
Overijssel (PV),01/01/2012,482572,457187,25385,0.947396451
Overijssel (PV),01/01/2013,485391,461190,24201,0.950141226
Overijssel (PV),01/01/2014,487577,464438,23139,0.95254288
Overijssel (PV),01/01/2015,490227,468017,22210,0.954694458
Overijssel (PV),01/01/2016,493757,472295,21462,0.956533274
Overijssel (PV),01/01/2017,497361,476750,20611,0.958559276
Overijssel (PV),01/01/2018,499951,480112,19839,0.960318111
Overijssel (PV),01/01/2019,505343,484918,20425,0.959581908
Overijssel (PV),01/01/2020,510296,490153,20143,0.960526831
Overijssel (PV),01/01/2021,514993,494815,20178,0.960818885
Overijssel (PV),01/01/2022,518558,499102,19456,0.962480571
Overijssel (PV),01/01/2023,522916,502424,20492,0.960812062
Flevoland (PV),01/01/2012,158061,151636,6425,0.959351137
Flevoland (PV),01/01/2013,159496,153058,6438,0.959635351
Flevoland (PV),01/01/2014,161512,155257,6255,0.961272227
Flevoland (PV),01/01/2015,162731,156665,6066,0.962723759
Flevoland (PV),01/01/2016,162918,158004,4914,0.969837587
Flevoland (PV),01/01/2017,164229,159477,4752,0.971064794
Flevoland (PV),01/01/2018,166487,161787,4700,0.971769568
Flevoland (PV),01/01/2019,169237,164338,4899,0.971052429
Flevoland (PV),01/01/2020,172227,166839,5388,0.968715707
Flevoland (PV),01/01/2021,174659,169308,5351,0.969363159
Flevoland (PV),01/01/2022,178000,172943,5057,0.971589888
Flevoland (PV),01/01/2023,181165,175639,5526,0.969497419
Gelderland (PV),01/01/2012,845193,802258,42935,0.949200952
Gelderland (PV),01/01/2013,859847,817374,42473,0.950604003
Gelderland (PV),01/01/2014,869410,828566,40844,0.953021014
Gelderland (PV),01/01/2015,877662,837595,40067,0.954348029
Gelderland (PV),01/01/2016,885679,846204,39475,0.955429676
Gelderland (PV),01/01/2017,888062,850558,37504,0.957768714
Gelderland (PV),01/01/2018,893989,860082,33907,0.96207224
Gelderland (PV),01/01/2019,903256,869823,33433,0.96298613
Gelderland (PV),01/01/2020,912372,879751,32621,0.964245944
Gelderland (PV),01/01/2021,922524,889354,33170,0.964044296
Gelderland (PV),01/01/2022,932116,899901,32215,0.965438851
Gelderland (PV),01/01/2023,940858,906538,34320,0.963522657
Utrecht (PV),01/01/2012,528124,501543,26581,0.949669017
Utrecht (PV),01/01/2013,534592,508502,26090,0.951196426
