region,period,total,total_occupied,total_not_occupied,oppucation_ratio
Appingedam,2012-01-01,5732.0,5427.0,305.0,0.9467899511514306
Appingedam,2013-01-01,5785.0,5429.0,356.0,0.9384615384615383
Appingedam,2014-01-01,5840.0,5518.0,322.0,0.94486301369863
Appingedam,2015-01-01,5850.0,5574.0,276.0,0.9528205128205128
Appingedam,2016-01-01,5881.0,5622.0,259.0,0.9559598707702772
Appingedam,2017-01-01,5899.0,5647.0,252.0,0.9572808950669603
Appingedam,2018-01-01,5925.0,5638.0,287.0,0.9515611814345992
Appingedam,2019-01-01,6032.0,5621.0,411.0,0.9318633952254642
Appingedam,2020-01-01,6042.0,5639.0,403.0,0.933300231711354
Appingedam,2021-01-01,,,,
Appingedam,2022-01-01,,,,
Appingedam,2023-01-01,,,,
Assen,2012-01-01,29854.0,28781.0,1073.0,0.964058417632478
Assen,2013-01-01,30183.0,28903.0,1280.0,0.9575920219991386
Assen,2014-01-01,30539.0,29216.0,1323.0,0.9566783457218638
Assen,2015-01-01,30737.0,29413.0,1324.0,0.956924878810554
Assen,2016-01-01,30691.0,29662.0,1029.0,0.9664722557101432
Assen,2017-01-01,30995.0,29945.0,1050.0,0.9661235683174706
Assen,2018-01-01,31424.0,30211.0,1213.0,0.9613989307535642
Assen,2019-01-01,31570.0,30565.0,1005.0,0.9681659803611024
Assen,2020-01-01,32154.0,31093.0,1061.0,0.9670025502270324
Assen,2021-01-01,32538.0,31411.0,1127.0,0.9653635748970436
Assen,2022-01-01,32680.0,31691.0,989.0,0.9697368421052632
Assen,2023-01-01,32998.0,31952.0,1046.0,0.9683011091581308
Bedum,2012-01-01,4424.0,4252.0,172.0,0.961121157323689
Bedum,2013-01-01,4464.0,4282.0,182.0,0.9592293906810035
Bedum,2014-01-01,4500.0,4320.0,180.0,0.96
Bedum,2015-01-01,4529.0,4328.0,201.0,0.9556193420181056
Bedum,2016-01-01,4570.0,4375.0,195.0,0.9573304157549234
Bedum,2017-01-01,4569.0,4424.0,145.0,0.9682643904574304
Bedum,2018-01-01,4614.0,4452.0,162.0,0.964889466840052
Bedum,2019-01-01,,,,
Bedum,2020-01-01,,,,
Bedum,2021-01-01,,,,
Bedum,2022-01-01,,,,
Bedum,2023-01-01,,,,
Buren,2012-01-01,10018.0,9502.0,516.0,0.9484927131163904
Buren,2013-01-01,10041.0,9521.0,520.0,0.948212329449258
Buren,2014-01-01,10196.0,9725.0,471.0,0.9538054138877992
Buren,2015-01-01,10323.0,9844.0,479.0,0.9535987600503728
Buren,2016-01-01,10386.0,9940.0,446.0,0.957057577508184
Buren,2017-01-01,10459.0,10047.0,412.0,0.9606080887274118
Buren,2018-01-01,10529.0,10148.0,381.0,0.9638142273720202
Buren,2019-01-01,10604.0,10227.0,377.0,0.9644473783477931
Buren,2020-01-01,10829.0,10390.0,439.0,0.959460707359867
Buren,2021-01-01,10933.0,10567.0,366.0,0.9665233696149272
Buren,2022-01-01,11016.0,10599.0,417.0,0.9621459694989106
Buren,2023-01-01,11125.0,10728.0,397.0,0.964314606741573
Delfzijl,2012-01-01,11982.0,11203.0,779.0,0.9349858120514104
Delfzijl,2013-01-01,12027.0,11210.0,817.0,0.9320695102685624
Delfzijl,2014-01-01,12229.0,11394.0,835.0,0.9317196827214
Delfzijl,2015-01-01,12232.0,11367.0,865.0,0.9292838456507522
Delfzijl,2016-01-01,12273.0,11323.0,950.0,0.9225943127189766
Delfzijl,2017-01-01,12237.0,11257.0,980.0,0.9199150118493096
Delfzijl,2018-01-01,12241.0,11350.0,891.0,0.92721182909893
Delfzijl,2019-01-01,12182.0,11331.0,851.0,0.9301428336890494
Delfzijl,2020-01-01,12223.0,11332.0,891.0,0.927104638795713
Delfzijl,2021-01-01,,,,
Delfzijl,2022-01-01,,,,
Delfzijl,2023-01-01,,,,
Emmen,2012-01-01,51220.0,45639.0,5581.0,0.8910386567746974
Emmen,2013-01-01,48540.0,45750.0,2790.0,0.9425216316440048
Emmen,2014-01-01,49264.0,46262.0,3002.0,0.9390630074699576
Emmen,2015-01-01,49120.0,46471.0,2649.0,0.9460708469055374
Emmen,2016-01-01,49118.0,46711.0,2407.0,0.9509955617085386
Emmen,2017-01-01,48789.0,47027.0,1762.0,0.9638853020147984
Emmen,2018-01-01,48923.0,47248.0,1675.0,0.965762524783844
Emmen,2019-01-01,49187.0,47412.0,1775.0,0.9639132291052512
Emmen,2020-01-01,49308.0,47660.0,1648.0,0.9665774316540926
Emmen,2021-01-01,49528.0,47864.0,1664.0,0.9664028428363752
Emmen,2022-01-01,50002.0,48461.0,1541.0,0.96918123275069
Emmen,2023-01-01,50332.0,48578.0,1754.0,0.9651513947389336
Loppersum,2012-01-01,4478.0,4266.0,212.0,0.9526574363555158
Loppersum,2013-01-01,4508.0,4309.0,199.0,0.9558562555456964
Loppersum,2014-01-01,4621.0,4319.0,302.0,0.9346461804804156
Loppersum,2015-01-01,4657.0,4350.0,307.0,0.9340777324457804
Loppersum,2016-01-01,4648.0,4340.0,308.0,0.933734939759036
Loppersum,2017-01-01,4627.0,4330.0,297.0,0.9358115409552626
Loppersum,2018-01-01,4687.0,4280.0,407.0,0.9131640708342224
Loppersum,2019-01-01,4698.0,4283.0,415.0,0.9116645381013198
Loppersum,2020-01-01,4687.0,4299.0,388.0,0.917217836569234
Loppersum,2021-01-01,,,,
Loppersum,2022-01-01,,,,
Loppersum,2023-01-01,,,,
Slochteren,2012-01-01,6589.0,6185.0,404.0,0.938685688268326
Slochteren,2013-01-01,6670.0,6259.0,411.0,0.9383808095952024
Slochteren,2014-01-01,6670.0,6292.0,378.0,0.943328335832084
Slochteren,2015-01-01,6689.0,6322.0,367.0,0.9451338017640905
Slochteren,2016-01-01,6787.0,6422.0,365.0,0.9462207160748488
Slochteren,2017-01-01,6480.0,6139.0,341.0,0.9473765432098764
Slochteren,2018-01-01,,,,
Slochteren,2019-01-01,,,,
Slochteren,2020-01-01,,,,
Slochteren,2021-01-01,,,,
Slochteren,2022-01-01,,,,
Slochteren,2023-01-01,,,,
