city,occurred_at,magnitude,depth,latitude,longitude
Garrelsweer,83,3.2,3.0,53.322,6.8
Appingedam,83,2.6,3.0,53.343,6.885
Loppersum,71,3.2,3.0,53.355,6.774
Zeerijp,66,3.4,3.0,53.366,6.782
Overschild,65,2.4,3.0,53.295,6.835
Wirdum,60,3.1,3.0,53.328,6.81
Sappemeer,48,2.2,3.0,53.185,6.821
Tjuchem,43,2.0,3.0,53.297,6.907
Froombosch,42,2.6,3.0,53.211,6.803
Westeremden,42,3.5,3.0,53.355,6.719
Siddeburen,42,1.9,3.0,53.273,6.909
Noordlaren,41,1.4,3.0,53.122,6.655
Roswinkel,40,3.4,1.5,52.845,7.064
Schildwolde,40,2.3,3.0,53.264,6.844
Harkstede,39,2.6,3.0,53.236,6.705
Meedhuizen,37,2.3,3.0,53.312,6.953
Lageland,34,2.1,3.0,53.262,6.733
Groningen,31,1.5,3.0,53.254,6.666
Scharmer,30,2.8,3.0,53.235,6.73
Hellum,28,3.1,3.0,53.264,6.857
Garsthuizen,27,2.8,2.8,53.381,6.75
Ten Post,26,2.3,3.0,53.305,6.77
Slochteren,26,2.6,3.0,53.24,6.838
Zuidbroek,24,1.4,3.0,53.186,6.9
Stedum,23,3.0,3.0,53.325,6.735
Farmsum,23,1.8,3.0,53.322,7.015
Oosterwijtwerd,22,2.0,3.0,53.344,6.837
Uithuizen,21,2.7,3.0,53.444,6.705
Wagenborgen,21,2.0,3.0,53.269,6.977
't Zandt,20,3.0,3.0,53.386,6.798
Steendam,20,2.5,3.0,53.288,6.85
Wildervank,18,1.7,2.5,53.088,6.863
Garmerwolde,17,2.8,3.0,53.263,6.677
Noordbroek,17,1.5,3.0,53.219,6.906
Middelstum,17,2.4,3.0,53.366,6.675
Zandeweer,16,3.2,3.0,53.399,6.698
Kantens,15,1.5,3.0,53.381,6.661
Emmen,15,2.3,3.0,52.79,6.924
Uithuizermeeden,15,1.9,3.0,53.47,6.783
Zuidlaren,14,2.4,3.0,53.095,6.734
Eppenhuizen,13,2.0,3.0,53.385,6.716
Noordzee,13,3.1,3.0,53.674,4.497
Westerwijtwerd,13,3.4,3.0,53.337,6.66
Veendam,13,1.5,0.0,53.122,6.943
Woudbloem,12,1.8,3.0,53.231,6.762
Kolham,12,2.0,3.0,53.195,6.766
Delfzijl,12,1.6,3.0,53.344,6.938
Ekehaar,11,2.5,3.0,52.955,6.605
Bedum,11,1.7,3.0,53.302,6.625
Leermens,10,2.5,3.0,53.353,6.808
Krewerd,10,2.3,3.0,53.364,6.863
Nieuw Annerveen,10,2.2,1.8,53.082,6.795
Zuidwolde,10,2.1,3.0,53.268,6.631
Rottum,9,2.1,3.0,53.39,6.643
Nieuwolda,9,1.7,3.0,53.262,6.998
Huizinge,9,3.6,3.0,53.362,6.7
Assen,9,2.8,1.0,52.992,6.588
Annen,9,2.4,3.0,53.072,6.768
Geelbroek,9,2.8,3.0,52.953,6.572
Eexterveen,9,1.2,3.0,53.063,6.813
Thesinge,8,1.5,3.0,53.286,6.669
Hoogezand,8,1.9,3.0,53.161,6.795
Borgercompagnie,8,1.2,3.0,53.116,6.842
Zijldijk,8,2.5,3.0,53.407,6.777
Woldendorp,7,1.8,3.0,53.274,7.071
Startenhuizen,7,2.3,3.0,53.383,6.727
Usquert,7,1.8,3.0,53.522,6.633
Luddeweer,6,1.3,3.0,53.264,6.747
Schipborg,6,0.7,3.0,53.077,6.693
Eleveld,6,2.6,3.0,52.959,6.585
Onderdendam,6,2.7,3.0,53.334,6.613
Toornwerd,6,2.7,1.0,53.36,6.653
Muntendam,6,1.8,3.0,53.157,6.901
Holwierde,6,2.5,3.0,53.357,6.902
Winneweer,6,1.5,3.0,53.311,6.749
Haren,6,1.5,3.0,53.185,6.618
Wetsinge,6,1.6,3.0,53.312,6.56
Woltersum,6,1.5,3.0,53.284,6.737
Oostwold Gem Oldambt,5,1.0,3.0,53.234,7.036
Oud Annerveen,5,1.4,3.0,53.089,6.768
Vries,5,1.2,3.0,53.079,6.586
Ten Boer,5,1.2,3.0,53.289,6.705
Laar (Duitsland),5,1.6,3.0,52.642,6.803
Eenum,5,1.4,3.0,53.335,6.795
Winde,4,1.8,3.0,53.122,6.496
Westerbroek,4,1.5,3.0,53.199,6.702
Startenhuizen Lopp,4,1.5,3.0,53.372,6.713
Bergen,4,3.5,2.0,52.658,4.713
Amen,4,2.0,3.0,52.941,6.61
Noordzee (nabij Egmond aan Zee),4,1.8,3.0,52.57,4.55
Eems-Dollard (nabij Holwierde),4,1.6,3.0,53.381,6.946
Godlinze,4,2.3,3.0,53.387,6.818
Kommerzijl,4,1.5,3.0,53.302,6.33
Noordwolde,3,1.6,3.0,53.277,6.598
Borgsweer,3,0.9,3.0,53.301,7.013
Sint Annen,3,1.1,3.0,53.303,6.68
Warffum,3,1.4,1.0,53.402,6.577
Hooghalen,3,2.5,1.5,52.944,6.56
Onnen,3,1.7,3.0,53.182,6.667
Meeden,3,1.2,3.0,53.166,6.942
Roodeschool,3,2.0,3.0,53.423,6.793
Kiel-Windeweer,3,1.0,3.0,53.141,6.792
Samtgemeinde Emlichheim (Duitsland),2,1.2,3.0,52.639,6.881
Donderen,2,1.4,3.0,53.108,6.543
Eexterzandvoort,2,1.0,3.0,53.046,6.8
Schoonebeek,2,1.3,3.0,52.681,6.88
Deurze,2,0.8,3.0,52.977,6.608
Smilde,2,2.5,3.0,52.968,6.45
Spijk,2,1.4,3.0,53.401,6.841
Lauwerzijl,2,1.7,3.0,53.312,6.308
Dalen,2,2.0,3.0,52.711,6.75
Waddenzee (nabij Eemshaven),2,2.0,3.0,53.474,6.923
Wachtum,2,2.2,3.0,52.724,6.738
Bunne,2,1.9,3.0,53.111,6.505
Kollum,2,1.5,3.0,53.308,6.152
Kropswolde,2,0.9,3.0,53.142,6.742
Tripscompagnie,2,1.0,3.0,53.145,6.83
Grolloo,2,1.3,3.0,52.95,6.627
Eelde,2,0.7,3.0,53.135,6.609
Eems-Dollard (nabij Farmsum),2,1.0,3.0,53.355,6.993
Scheemda,2,0.8,3.0,53.174,6.962
Noordzee (nabij Schoorl),2,1.8,3.0,52.702,4.625
Eems-Dollard (nabij Eemshaven),2,1.1,3.0,53.438,6.913
Anna Paulowna,2,2.3,3.0,52.858,4.821
Oldenzijl,2,1.4,3.0,53.396,6.748
Winsum,2,0.8,3.0,53.313,6.518
Peize,2,1.3,3.0,53.175,6.529
Eems-Dollard (nabij Delfzijl),2,1.4,3.0,53.354,6.96
Houwerzijl,2,1.4,3.0,53.334,6.343
Noordzee (nabij Castricum),2,2.5,3.0,52.555,4.588
Ravenswoud,2,2.3,2.6,52.971,6.413
Eems-Dollard (nabij Emden),2,0.9,3.0,53.35,7.005
Losdorp,2,1.8,3.0,53.37,6.845
Zeegse,1,0.8,3.0,53.072,6.653
Waddenzee (nabij Uithuizermeeden),1,1.3,3.0,53.48,6.758
Annerveenschekanaal,1,1.2,3.0,53.085,6.78
Waddenzee (nabij Buren),1,1.8,3.0,53.443,5.913
Waddenzee (nabij Dornum),1,1.4,3.0,53.694,7.377
Boerakker,1,0.7,3.0,53.19,6.332
Waddenzee (nabij Uithuizen),1,0.9,3.0,53.487,6.695
Jisp,1,2.3,3.0,52.511,4.847
Waddenzee (nabij Usquert),1,2.5,3.0,53.491,6.617
Boelenslaan,1,1.8,3.0,53.146,6.122
Beerze,1,0.9,3.0,52.508,6.563
Hezingen,1,0.7,3.0,52.439,6.916
Warder,1,2.5,3.0,52.564,5.011
Zuidlaarderveen,1,1.9,3.5,53.094,6.752
Gieterveen,1,0.9,3.0,53.035,6.838
Anloo,1,2.3,3.0,53.061,6.698
Geothermie bij Desssel,1,1.6,1.0,51.229,5.107
Foxhol,1,0.5,3.0,53.169,6.727
Bierum,1,1.7,3.0,53.378,6.857
Ureterp,1,1.0,3.0,53.111,6.152
Gasteren,1,0.9,3.0,53.055,6.657
Het Waar,1,0.5,3.0,53.223,6.949
Morra,1,1.4,3.0,53.374,6.088
Erica,1,1.7,3.0,52.714,6.915
Goldenstedt (Duitsland),1,1.8,3.0,52.772,8.331
Alkmaar,1,0.7,2.0,52.646,4.713
Nietap,1,1.0,3.0,53.165,6.41
Eemshaven,1,1.3,3.0,53.446,6.843
Nieuwe Pekela,1,0.9,3.0,53.066,6.933
Nieuwediep,1,1.0,3.0,53.033,6.87
Midwolde,1,0.6,3.0,53.185,6.392
Eext,1,0.4,3.0,53.045,6.762
Marwijksoord,1,0.9,3.0,52.952,6.633
Opende,1,1.4,3.0,53.138,6.176
Lettelbert,1,0.9,3.0,53.196,6.403
Oud Ootmarsum,1,-0.1,0.0,52.433,6.925
Oude Pekela,1,1.6,3.0,53.103,6.968
Pieterzijl,1,1.3,3.0,53.288,6.267
Roden,1,2.1,3.0,53.147,6.422
Eems-Dollard (nabij Bierum),1,0.9,3.0,53.403,6.961
Ubbena,1,1.5,3.0,53.053,6.568
Lellens,1,1.5,3.0,53.301,6.712
Eelderwolde,1,1.8,3.0,53.189,6.522
Sauwerd,1,0.7,3.0,53.297,6.535
Schoorl,1,2.7,2.9,52.682,4.648
De Hoeve,1,2.8,3.0,52.892,6.113
Leens,1,1.3,3.0,53.34,6.403
Munnekezijl,1,1.3,3.0,53.335,6.279
Steenbergen,1,1.1,3.0,53.097,6.402
Taarlo,1,0.5,3.0,53.035,6.638
Langelo,1,1.5,3.0,53.084,6.465
Buren,1,1.8,3.0,53.457,5.85
Kwadijk,1,2.7,1.2,52.529,4.971
Tinallinge,1,1.2,3.0,53.348,6.565
Tolbert,1,0.9,3.0,53.19,6.358
Dalerveen,1,1.4,3.0,52.676,6.832
