period,region,mean_value
1997,Nederland,79.0
1998,Nederland,79.0
1999,Nederland,80.0
2000,Nederland,80.0
2001,Nederland,131.0
2002,Nederland,132.0
2003,Nederland,133.0
2004,Nederland,134.0
2005,Nederland,200.0
2006,Nederland,201.0
2007,Nederland,216.0
2008,Nederland,232.0
2009,Nederland,241.0
2010,Nederland,242.0
2011,Nederland,236.0
2012,Nederland,232.0
2013,Nederland,223.0
2014,Nederland,211.0
2015,Nederland,206.0
2016,Nederland,208.0
2017,Nederland,217.0
2018**,Nederland,230.0
2019*,Nederland,248.0
2020*,Nederland,270.0
1997,Groningen (PV),57.0
1998,Groningen (PV),58.0
1999,Groningen (PV),58.0
2000,Groningen (PV),59.0
2001,Groningen (PV),87.0
2002,Groningen (PV),88.0
2003,Groningen (PV),89.0
2004,Groningen (PV),90.0
2005,Groningen (PV),141.0
2006,Groningen (PV),141.0
2007,Groningen (PV),158.0
2008,Groningen (PV),174.0
2009,Groningen (PV),179.0
2010,Groningen (PV),180.0
2011,Groningen (PV),178.0
2012,Groningen (PV),174.0
2013,Groningen (PV),168.0
2014,Groningen (PV),159.0
2015,Groningen (PV),154.0
2016,Groningen (PV),154.0
2017,Groningen (PV),157.0
2018**,Groningen (PV),165.0
2019*,Groningen (PV),166.0
2020*,Groningen (PV),186.0
1997,Friesland (PV),57.0
1998,Friesland (PV),58.0
1999,Friesland (PV),59.0
2000,Friesland (PV),60.0
2001,Friesland (PV),100.0
2002,Friesland (PV),100.0
2003,Friesland (PV),102.0
2004,Friesland (PV),102.0
2005,Friesland (PV),158.0
2006,Friesland (PV),159.0
2007,Friesland (PV),177.0
2008,Friesland (PV),191.0
2009,Friesland (PV),197.0
2010,Friesland (PV),197.0
2011,Friesland (PV),195.0
2012,Friesland (PV),190.0
2013,Friesland (PV),180.0
2014,Friesland (PV),169.0
2015,Friesland (PV),163.0
2016,Friesland (PV),164.0
2017,Friesland (PV),169.0
2018**,Friesland (PV),176.0
2019*,Friesland (PV),186.0
2020*,Friesland (PV),198.0
1997,Drenthe (PV),73.0
1998,Drenthe (PV),74.0
1999,Drenthe (PV),74.0
2000,Drenthe (PV),75.0
2001,Drenthe (PV),116.0
2002,Drenthe (PV),117.0
2003,Drenthe (PV),118.0
2004,Drenthe (PV),118.0
2005,Drenthe (PV),176.0
2006,Drenthe (PV),177.0
2007,Drenthe (PV),193.0
2008,Drenthe (PV),206.0
2009,Drenthe (PV),214.0
2010,Drenthe (PV),215.0
2011,Drenthe (PV),211.0
2012,Drenthe (PV),207.0
2013,Drenthe (PV),198.0
2014,Drenthe (PV),186.0
2015,Drenthe (PV),181.0
2016,Drenthe (PV),180.0
2017,Drenthe (PV),185.0
2018**,Drenthe (PV),190.0
2019*,Drenthe (PV),201.0
2020*,Drenthe (PV),214.0
1997,Overijssel (PV),72.0
1998,Overijssel (PV),72.0
1999,Overijssel (PV),73.0
2000,Overijssel (PV),73.0
2001,Overijssel (PV),119.0
2002,Overijssel (PV),120.0
2003,Overijssel (PV),121.0
2004,Overijssel (PV),122.0
2005,Overijssel (PV),185.0
2006,Overijssel (PV),186.0
2007,Overijssel (PV),201.0
2008,Overijssel (PV),214.0
2009,Overijssel (PV),220.0
2010,Overijssel (PV),222.0
2011,Overijssel (PV),218.0
2012,Overijssel (PV),213.0
2013,Overijssel (PV),207.0
2014,Overijssel (PV),195.0
2015,Overijssel (PV),191.0
2016,Overijssel (PV),192.0
2017,Overijssel (PV),196.0
2018**,Overijssel (PV),204.0
2019*,Overijssel (PV),217.0
2020*,Overijssel (PV),231.0
1997,Flevoland (PV),75.0
1998,Flevoland (PV),76.0
1999,Flevoland (PV),77.0
2000,Flevoland (PV),78.0
2001,Flevoland (PV),113.0
2002,Flevoland (PV),115.0
2003,Flevoland (PV),116.0
2004,Flevoland (PV),117.0
2005,Flevoland (PV),180.0
2006,Flevoland (PV),180.0
2007,Flevoland (PV),191.0
2008,Flevoland (PV),199.0
2009,Flevoland (PV),203.0
2010,Flevoland (PV),203.0
2011,Flevoland (PV),201.0
2012,Flevoland (PV),197.0
2013,Flevoland (PV),191.0
2014,Flevoland (PV),183.0
2015,Flevoland (PV),179.0
2016,Flevoland (PV),180.0
2017,Flevoland (PV),185.0
2018**,Flevoland (PV),194.0
2019*,Flevoland (PV),212.0
2020*,Flevoland (PV),236.0
1997,Gelderland (PV),86.0
1998,Gelderland (PV),86.0
1999,Gelderland (PV),86.0
2000,Gelderland (PV),87.0
2001,Gelderland (PV),145.0
2002,Gelderland (PV),146.0
2003,Gelderland (PV),146.0
2004,Gelderland (PV),147.0
2005,Gelderland (PV),220.0
2006,Gelderland (PV),220.0
2007,Gelderland (PV),236.0
2008,Gelderland (PV),251.0
2009,Gelderland (PV),259.0
2010,Gelderland (PV),260.0
2011,Gelderland (PV),252.0
2012,Gelderland (PV),245.0
2013,Gelderland (PV),235.0
2014,Gelderland (PV),220.0
2015,Gelderland (PV),214.0
2016,Gelderland (PV),214.0
2017,Gelderland (PV),217.0
2018**,Gelderland (PV),227.0
2019*,Gelderland (PV),243.0
2020*,Gelderland (PV),261.0
1997,Utrecht (PV),98.0
1998,Utrecht (PV),99.0
1999,Utrecht (PV),99.0
2000,Utrecht (PV),99.0
2001,Utrecht (PV),161.0
2002,Utrecht (PV),160.0
2003,Utrecht (PV),161.0
2004,Utrecht (PV),161.0
2005,Utrecht (PV),231.0
2006,Utrecht (PV),232.0
2007,Utrecht (PV),249.0
2008,Utrecht (PV),269.0
2009,Utrecht (PV),283.0
2010,Utrecht (PV),286.0
2011,Utrecht (PV),279.0
2012,Utrecht (PV),274.0
2013,Utrecht (PV),264.0
2014,Utrecht (PV),248.0
2015,Utrecht (PV),240.0
2016,Utrecht (PV),241.0
2017,Utrecht (PV),255.0
2018**,Utrecht (PV),274.0
2019*,Utrecht (PV),297.0
2020*,Utrecht (PV),323.0
1997,Noord-Holland (PV),79.0
1998,Noord-Holland (PV),79.0
1999,Noord-Holland (PV),80.0
2000,Noord-Holland (PV),80.0
2001,Noord-Holland (PV),144.0
2002,Noord-Holland (PV),145.0
2003,Noord-Holland (PV),145.0
2004,Noord-Holland (PV),146.0
2005,Noord-Holland (PV),220.0
2006,Noord-Holland (PV),221.0
2007,Noord-Holland (PV),230.0
2008,Noord-Holland (PV),251.0
2009,Noord-Holland (PV),267.0
2010,Noord-Holland (PV),269.0
2011,Noord-Holland (PV),262.0
2012,Noord-Holland (PV),258.0
2013,Noord-Holland (PV),248.0
2014,Noord-Holland (PV),235.0
2015,Noord-Holland (PV),232.0
2016,Noord-Holland (PV),240.0
2017,Noord-Holland (PV),260.0
2018**,Noord-Holland (PV),288.0
2019*,Noord-Holland (PV),318.0
2020*,Noord-Holland (PV),351.0
1997,Zuid-Holland (PV),76.0
1998,Zuid-Holland (PV),76.0
1999,Zuid-Holland (PV),77.0
2000,Zuid-Holland (PV),77.0
2001,Zuid-Holland (PV),120.0
2002,Zuid-Holland (PV),121.0
2003,Zuid-Holland (PV),121.0
2004,Zuid-Holland (PV),122.0
2005,Zuid-Holland (PV),186.0
2006,Zuid-Holland (PV),187.0
2007,Zuid-Holland (PV),203.0
2008,Zuid-Holland (PV),217.0
2009,Zuid-Holland (PV),225.0
2010,Zuid-Holland (PV),226.0
2011,Zuid-Holland (PV),221.0
2012,Zuid-Holland (PV),217.0
2013,Zuid-Holland (PV),210.0
2014,Zuid-Holland (PV),199.0
2015,Zuid-Holland (PV),194.0
2016,Zuid-Holland (PV),197.0
2017,Zuid-Holland (PV),203.0
2018**,Zuid-Holland (PV),214.0
2019*,Zuid-Holland (PV),237.0
2020*,Zuid-Holland (PV),262.0
1997,Zeeland (PV),71.0
1998,Zeeland (PV),71.0
1999,Zeeland (PV),72.0
2000,Zeeland (PV),72.0
2001,Zeeland (PV),101.0
2002,Zeeland (PV),102.0
2003,Zeeland (PV),102.0
2004,Zeeland (PV),103.0
2005,Zeeland (PV),158.0
2006,Zeeland (PV),159.0
2007,Zeeland (PV),181.0
2008,Zeeland (PV),194.0
2009,Zeeland (PV),199.0
2010,Zeeland (PV),200.0
2011,Zeeland (PV),198.0
2012,Zeeland (PV),198.0
2013,Zeeland (PV),194.0
2014,Zeeland (PV),188.0
2015,Zeeland (PV),185.0
2016,Zeeland (PV),186.0
2017,Zeeland (PV),190.0
2018**,Zeeland (PV),194.0
2019*,Zeeland (PV),203.0
2020*,Zeeland (PV),213.0
1997,Noord-Brabant (PV),86.0
1998,Noord-Brabant (PV),86.0
1999,Noord-Brabant (PV),86.0
2000,Noord-Brabant (PV),86.0
2001,Noord-Brabant (PV),145.0
2002,Noord-Brabant (PV),147.0
2003,Noord-Brabant (PV),148.0
2004,Noord-Brabant (PV),149.0
2005,Noord-Brabant (PV),226.0
2006,Noord-Brabant (PV),226.0
2007,Noord-Brabant (PV),245.0
2008,Noord-Brabant (PV),261.0
2009,Noord-Brabant (PV),270.0
2010,Noord-Brabant (PV),271.0
2011,Noord-Brabant (PV),264.0
2012,Noord-Brabant (PV),257.0
2013,Noord-Brabant (PV),246.0
2014,Noord-Brabant (PV),233.0
2015,Noord-Brabant (PV),226.0
2016,Noord-Brabant (PV),226.0
2017,Noord-Brabant (PV),232.0
2018**,Noord-Brabant (PV),241.0
2019*,Noord-Brabant (PV),257.0
2020*,Noord-Brabant (PV),275.0
1997,Limburg (PV),82.0
1998,Limburg (PV),82.0
1999,Limburg (PV),83.0
2000,Limburg (PV),83.0
2001,Limburg (PV),131.0
2002,Limburg (PV),132.0
2003,Limburg (PV),133.0
2004,Limburg (PV),133.0
2005,Limburg (PV),179.0
2006,Limburg (PV),179.0
2007,Limburg (PV),194.0
2008,Limburg (PV),202.0
2009,Limburg (PV),206.0
2010,Limburg (PV),206.0
2011,Limburg (PV),200.0
2012,Limburg (PV),196.0
2013,Limburg (PV),189.0
2014,Limburg (PV),180.0
