region,2019,2020,2021,2022,2023,2024
Nederland,250.0,271.0,290.0,317.0,368.0,379.0
Groningen (PV),177.0,190.0,205.0,228.0,268.0,279.0
Fryslân (PV),190.0,202.0,217.0,241.0,278.0,290.0
Drenthe (PV),203.0,215.0,230.0,255.0,295.0,307.0
Overijssel (PV),221.0,235.0,251.0,280.0,326.0,344.0
Flevoland (PV),218.0,241.0,262.0,292.0,348.0,362.0
Gelderland (PV),246.0,263.0,281.0,310.0,365.0,380.0
Utrecht (PV),301.0,326.0,349.0,382.0,448.0,450.0
Noord-Holland (PV),318.0,350.0,368.0,394.0,461.0,462.0
Zuid-Holland (PV),236.0,261.0,282.0,311.0,359.0,373.0
Zeeland (PV),205.0,215.0,228.0,248.0,282.0,304.0
Noord-Brabant (PV),260.0,278.0,295.0,323.0,370.0,385.0
Limburg (PV),203.0,218.0,231.0,246.0,288.0,290.0
Aa en Hunze,241.0,257.0,271.0,298.0,343.0,349.0
Aalsmeer,337.0,361.0,383.0,427.0,494.0,491.0
Aalten,209.0,223.0,238.0,265.0,313.0,331.0
Achtkarspelen,182.0,192.0,206.0,226.0,256.0,271.0
Alblasserdam,217.0,234.0,252.0,274.0,324.0,343.0
Albrandswaard,286.0,311.0,332.0,366.0,431.0,447.0
Alkmaar,221.0,243.0,261.0,287.0,342.0,359.0
Almelo,170.0,184.0,198.0,224.0,272.0,284.0
Almere,222.0,251.0,276.0,310.0,363.0,375.0
Alphen aan den Rijn,246.0,264.0,282.0,309.0,360.0,374.0
Alphen-Chaam,333.0,351.0,372.0,402.0,441.0,458.0
Altena,257.0,273.0,291.0,320.0,377.0,396.0
Ameland,246.0,246.0,263.0,310.0,343.0,348.0
Amersfoort,283.0,306.0,330.0,367.0,432.0,420.0
Amstelveen,384.0,420.0,442.0,470.0,528.0,536.0
Amsterdam,375.0,416.0,423.0,433.0,517.0,499.0
Apeldoorn,245.0,263.0,278.0,306.0,378.0,382.0
Appingedam,143.0,155.0,,,,
Arnhem,206.0,221.0,240.0,265.0,323.0,336.0
Assen,184.0,195.0,210.0,237.0,278.0,284.0
Asten,299.0,321.0,331.0,364.0,403.0,417.0
Baarle-Nassau,298.0,316.0,337.0,361.0,391.0,411.0
Baarn,316.0,343.0,373.0,410.0,471.0,491.0
Barendrecht,288.0,314.0,336.0,367.0,421.0,436.0
Barneveld,297.0,317.0,339.0,376.0,434.0,453.0
Beek (L.),205.0,223.0,238.0,252.0,293.0,295.0
Beekdaelen,213.0,230.0,245.0,263.0,304.0,306.0
Beemster,369.0,405.0,429.0,,,
Beesel,201.0,220.0,238.0,251.0,291.0,297.0
Berg en Dal,244.0,259.0,276.0,304.0,349.0,371.0
Bergeijk,311.0,325.0,346.0,385.0,432.0,474.0
Bergen (L.),229.0,247.0,262.0,281.0,327.0,333.0
Bergen (NH.),381.0,414.0,439.0,478.0,548.0,580.0
Bergen op Zoom,221.0,233.0,249.0,270.0,304.0,312.0
Berkelland,241.0,255.0,273.0,298.0,357.0,370.0
Bernheze,306.0,326.0,333.0,374.0,428.0,457.0
Best,292.0,308.0,321.0,359.0,404.0,428.0
Beuningen,251.0,271.0,291.0,329.0,377.0,391.0
Beverwijk,214.0,239.0,259.0,286.0,341.0,336.0
De Bilt,394.0,421.0,446.0,473.0,580.0,580.0
Bladel,293.0,310.0,331.0,366.0,409.0,434.0
Blaricum,590.0,636.0,686.0,730.0,843.0,858.0
Bloemendaal,681.0,735.0,775.0,829.0,930.0,905.0
Bodegraven-Reeuwijk,307.0,330.0,352.0,381.0,434.0,449.0
Boekel,285.0,304.0,309.0,344.0,398.0,417.0
Borger-Odoorn,197.0,209.0,227.0,253.0,297.0,304.0
Borne,246.0,261.0,280.0,313.0,370.0,394.0
Borsele,222.0,232.0,242.0,264.0,295.0,319.0
Boxmeer,250.0,256.0,266.0,,,
Boxtel,267.0,284.0,298.0,324.0,376.0,381.0
Breda,271.0,292.0,313.0,336.0,382.0,390.0
Brielle,237.0,258.0,277.0,306.0,,
Bronckhorst,272.0,290.0,303.0,349.0,419.0,438.0
Brummen,253.0,265.0,279.0,310.0,372.0,384.0
Brunssum,148.0,161.0,172.0,188.0,222.0,224.0
Bunnik,350.0,382.0,407.0,435.0,530.0,523.0
Bunschoten,293.0,314.0,340.0,374.0,420.0,439.0
Buren,307.0,327.0,345.0,380.0,416.0,444.0
Capelle aan den IJssel,204.0,229.0,246.0,270.0,310.0,350.0
Castricum,313.0,340.0,370.0,405.0,478.0,485.0
Coevorden,203.0,214.0,225.0,250.0,287.0,297.0
Cranendonck,262.0,279.0,296.0,328.0,354.0,372.0
Cuijk,225.0,238.0,256.0,,,
Culemborg,235.0,253.0,275.0,309.0,369.0,388.0
Dalfsen,294.0,312.0,329.0,356.0,399.0,430.0
Dantumadiel,184.0,193.0,214.0,247.0,291.0,309.0
Delft,211.0,241.0,263.0,288.0,322.0,336.0
Delfzijl,131.0,138.0,,,,
Deurne,275.0,297.0,304.0,340.0,387.0,397.0
Deventer,210.0,225.0,242.0,272.0,324.0,342.0
Diemen,275.0,307.0,330.0,365.0,429.0,428.0
