region,year,value
's-Graveland,1997,124
's-Graveland,1998,122
's-Graveland,1999,122
's-Graveland,2000,122
's-Graveland,2001,202
's-Graveland,2002,
's-Graveland,2003,
's-Graveland,2004,
's-Graveland,2005,
's-Graveland,2006,
's-Graveland,2007,
's-Graveland,2008,
's-Graveland,2009,
's-Graveland,2010,
's-Graveland,2011,
's-Graveland,2012,
's-Graveland,2013,
's-Graveland,2014,
's-Graveland,2015,
's-Graveland,2016,
's-Graveland,2017,
's-Graveland,2018,
's-Graveland,2019,
's-Graveland,2020,
's-Graveland,2021,
's-Graveland,2022,
's-Graveland,2023,
's-Graveland,2024,
's-Gravendeel,1997,79
's-Gravendeel,1998,80
's-Gravendeel,1999,80
's-Gravendeel,2000,81
's-Gravendeel,2001,122
's-Gravendeel,2002,125
's-Gravendeel,2003,127
's-Gravendeel,2004,128
's-Gravendeel,2005,190
's-Gravendeel,2006,192
's-Gravendeel,2007,
's-Gravendeel,2008,
's-Gravendeel,2009,
's-Gravendeel,2010,
's-Gravendeel,2011,
's-Gravendeel,2012,
's-Gravendeel,2013,
's-Gravendeel,2014,
's-Gravendeel,2015,
's-Gravendeel,2016,
's-Gravendeel,2017,
's-Gravendeel,2018,
's-Gravendeel,2019,
's-Gravendeel,2020,
's-Gravendeel,2021,
's-Gravendeel,2022,
's-Gravendeel,2023,
's-Gravendeel,2024,
's-Gravenhage (gemeente),1997,63
's-Gravenhage (gemeente),1998,63
's-Gravenhage (gemeente),1999,63
's-Gravenhage (gemeente),2000,64
's-Gravenhage (gemeente),2001,96
's-Gravenhage (gemeente),2002,100
's-Gravenhage (gemeente),2003,102
's-Gravenhage (gemeente),2004,103
's-Gravenhage (gemeente),2005,166
's-Gravenhage (gemeente),2006,167
's-Gravenhage (gemeente),2007,182
's-Gravenhage (gemeente),2008,199
's-Gravenhage (gemeente),2009,211
's-Gravenhage (gemeente),2010,213
's-Gravenhage (gemeente),2011,210
's-Gravenhage (gemeente),2012,207
's-Gravenhage (gemeente),2013,199
's-Gravenhage (gemeente),2014,188
's-Gravenhage (gemeente),2015,184
's-Gravenhage (gemeente),2016,188
's-Gravenhage (gemeente),2017,197
's-Gravenhage (gemeente),2018,212
's-Gravenhage (gemeente),2019,233
's-Gravenhage (gemeente),2020,262
's-Gravenhage (gemeente),2021,285
's-Gravenhage (gemeente),2022,311
's-Gravenhage (gemeente),2023,354
's-Gravenhage (gemeente),2024,363
's-Gravenzande,1997,99
's-Gravenzande,1998,99
's-Gravenzande,1999,98
's-Gravenzande,2000,100
's-Gravenzande,2001,147
's-Gravenzande,2002,
's-Gravenzande,2003,
's-Gravenzande,2004,
's-Gravenzande,2005,
's-Gravenzande,2006,
's-Gravenzande,2007,
's-Gravenzande,2008,
's-Gravenzande,2009,
's-Gravenzande,2010,
's-Gravenzande,2011,
's-Gravenzande,2012,
's-Gravenzande,2013,
's-Gravenzande,2014,
's-Gravenzande,2015,
's-Gravenzande,2016,
's-Gravenzande,2017,
's-Gravenzande,2018,
's-Gravenzande,2019,
's-Gravenzande,2020,
's-Gravenzande,2021,
's-Gravenzande,2022,
's-Gravenzande,2023,
's-Gravenzande,2024,
's-Hertogenbosch,1997,87
's-Hertogenbosch,1998,88
's-Hertogenbosch,1999,88
's-Hertogenbosch,2000,87
's-Hertogenbosch,2001,141
's-Hertogenbosch,2002,141
's-Hertogenbosch,2003,142
's-Hertogenbosch,2004,143
's-Hertogenbosch,2005,214
's-Hertogenbosch,2006,214
's-Hertogenbosch,2007,234
's-Hertogenbosch,2008,253
's-Hertogenbosch,2009,263
's-Hertogenbosch,2010,266
's-Hertogenbosch,2011,255
's-Hertogenbosch,2012,252
's-Hertogenbosch,2013,235
's-Hertogenbosch,2014,221
's-Hertogenbosch,2015,220
's-Hertogenbosch,2016,228
's-Hertogenbosch,2017,238
's-Hertogenbosch,2018,256
's-Hertogenbosch,2019,281
's-Hertogenbosch,2020,298
's-Hertogenbosch,2021,318
's-Hertogenbosch,2022,341
's-Hertogenbosch,2023,398
's-Hertogenbosch,2024,406
Aa en Hunze,1997,
Aa en Hunze,1998,79
Aa en Hunze,1999,80
Aa en Hunze,2000,80
Aa en Hunze,2001,139
Aa en Hunze,2002,140
Aa en Hunze,2003,140
Aa en Hunze,2004,141
Aa en Hunze,2005,212
Aa en Hunze,2006,212
Aa en Hunze,2007,239
Aa en Hunze,2008,253
Aa en Hunze,2009,261
Aa en Hunze,2010,263
Aa en Hunze,2011,261
Aa en Hunze,2012,254
Aa en Hunze,2013,240
Aa en Hunze,2014,224
Aa en Hunze,2015,217
Aa en Hunze,2016,217
Aa en Hunze,2017,227
Aa en Hunze,2018,229
Aa en Hunze,2019,241
Aa en Hunze,2020,257
Aa en Hunze,2021,271
Aa en Hunze,2022,298
Aa en Hunze,2023,343
Aa en Hunze,2024,349
Aalburg,1997,105
Aalburg,1998,105
Aalburg,1999,105
Aalburg,2000,109
Aalburg,2001,157
Aalburg,2002,158
Aalburg,2003,159
Aalburg,2004,159
Aalburg,2005,249
Aalburg,2006,246
Aalburg,2007,262
Aalburg,2008,277
Aalburg,2009,293
Aalburg,2010,296
Aalburg,2011,277
Aalburg,2012,274
Aalburg,2013,266
Aalburg,2014,249
Aalburg,2015,241
Aalburg,2016,240
Aalburg,2017,244
Aalburg,2018,251
Aalburg,2019,
Aalburg,2020,
Aalburg,2021,
Aalburg,2022,
Aalburg,2023,
Aalburg,2024,
