"WOZ-objecten naar waardeklasse; 1997 - 2011"
""
"";"";"";"";"Perioden"
"Waardeklasse WOZ-objecten";"Regio's";"Onderwerp";"";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010*";"2011*"
"Totaal";"Nederland";"Totaal WOZ-objecten";"aantal";"7319130";"7467080";"7607508";"7720019";"7811179";"7888733";"7950128";"8009421";"8065373";"8131187";"8202867";"8277360";"8355947";"8402000";"8475939"
"Totaal";"Nederland";"WOZ-objecten woningen";"aantal";"6216391";"6324240";"6425332";"6520910";"6607835";"6657513";"6715556";"6765031";"6836397";"6898824";"6976078";"7043736";"7113370";"7149037";"7204367"
"Totaal";"Nederland";"Recreatiewoningen en overige woningen";"aantal";"287704";"325567";"351556";"350756";"372925";"389054";"391697";"396287";"400492";"406626";"408057";"412658";"411763";"414609";"418303"
"Totaal";"Nederland";"Niet-woningen; gedeeltelijk bewoond";"aantal";"171839";"170744";"169041";"166448";"148088";"146556";"143115";"140416";"126222";"122039";"108674";"97363";"95490";"94722";"93487"
"Totaal";"Nederland";"Niet-woningen; niet bewoond";"aantal";"643196";"646529";"661579";"681905";"682331";"695610";"699760";"707687";"702262";"703698";"710058";"723603";"735324";"743632";"759782"
"Totaal";"Groningen (PV)";"Totaal WOZ-objecten";"aantal";"277258";"281141";"285135";"290025";"289036";"290922";"291591";"291380";"292135";"292432";"293564";"294791";"297797";"298368";"299616"
"Totaal";"Groningen (PV)";"WOZ-objecten woningen";"aantal";"232838";"235926";"238103";"239286";"239935";"240664";"241120";"241827";"243872";"244466";"246494";"247378";"249319";"250408";"250861"
"Totaal";"Groningen (PV)";"Recreatiewoningen en overige woningen";"aantal";"12039";"13527";"13730";"13886";"17016";"17834";"17991";"18019";"17345";"16968";"16699";"16334";"16362";"15961";"16369"
"Totaal";"Groningen (PV)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"7390";"7627";"7572";"7597";"7772";"7725";"7607";"7464";"6845";"6765";"6443";"6508";"6417";"6147";"6017"
"Totaal";"Groningen (PV)";"Niet-woningen; niet bewoond";"aantal";"24991";"24061";"25730";"29256";"24313";"24699";"24873";"24070";"24073";"24233";"23928";"24571";"25699";"25852";"26369"
"Totaal";"Friesland (PV)";"Totaal WOZ-objecten";"aantal";"292949";"300152";"305890";"310521";"313966";"317828";"321231";"324287";"325360";"327174";"330801";"333654";"336560";"338533";"341576"
"Totaal";"Friesland (PV)";"WOZ-objecten woningen";"aantal";"239101";"243639";"247138";"250289";"253822";"256460";"257774";"259874";"263207";"265418";"268995";"271503";"273794";"274732";"275686"
"Totaal";"Friesland (PV)";"Recreatiewoningen en overige woningen";"aantal";"14228";"15166";"16057";"16077";"16115";"17437";"17795";"18288";"17723";"18130";"17947";"18544";"18591";"18794";"19136"
"Totaal";"Friesland (PV)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"12494";"11829";"12553";"12495";"11511";"11388";"11152";"11016";"9910";"9048";"8327";"7026";"6734";"6545";"7517"
"Totaal";"Friesland (PV)";"Niet-woningen; niet bewoond";"aantal";"27126";"29518";"30142";"31660";"32518";"32543";"34510";"35109";"34520";"34578";"35532";"36581";"37441";"38462";"39237"
"Totaal";"Drenthe (PV)";"Totaal WOZ-objecten";"aantal";"215229";"219512";"223934";"226914";"230141";"233512";"235112";"237092";"239780";"242396";"244746";"248557";"250514";"252333";"253450"
"Totaal";"Drenthe (PV)";"WOZ-objecten woningen";"aantal";"177759";"180354";"183115";"185528";"187875";"189615";"191185";"192948";"195069";"196975";"198757";"201376";"202913";"204046";"204453"
"Totaal";"Drenthe (PV)";"Recreatiewoningen en overige woningen";"aantal";"8845";"12409";"12603";"13020";"14034";"14094";"14318";"14632";"15497";"15768";"16107";"16221";"16004";"16361";"16684"
"Totaal";"Drenthe (PV)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"8814";"9255";"9127";"9055";"7953";"7825";"7692";"7563";"7168";"6754";"6895";"6595";"6473";"6349";"6182"
"Totaal";"Drenthe (PV)";"Niet-woningen; niet bewoond";"aantal";"19811";"17494";"19089";"19311";"20279";"21978";"21917";"21949";"22046";"22899";"22987";"24365";"25124";"25577";"26131"
"Totaal";"Overijssel (PV)";"Totaal WOZ-objecten";"aantal";"477305";"488579";"504567";"509146";"514129";"516962";"524271";"529892";"533039";"537994";"542733";"548679";"553558";"556041";"559065"
"Totaal";"Overijssel (PV)";"WOZ-objecten woningen";"aantal";"395917";"401841";"409817";"413877";"419941";"425557";"430033";"434847";"439646";"443230";"447895";"453296";"457188";"459441";"461500"
"Totaal";"Overijssel (PV)";"Recreatiewoningen en overige woningen";"aantal";"15725";"22152";"22726";"23090";"26858";"26337";"26734";"26818";"26999";"27619";"27750";"27684";"27515";"27192";"27376"
"Totaal";"Overijssel (PV)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"19260";"18927";"18650";"18562";"15819";"16112";"15690";"15359";"13580";"13286";"12291";"12232";"12069";"11792";"11728"
"Totaal";"Overijssel (PV)";"Niet-woningen; niet bewoond";"aantal";"46403";"45659";"53374";"53617";"51511";"48956";"51814";"52868";"52814";"53859";"54797";"55467";"56786";"57616";"58461"
"Totaal";"Flevoland (PV)";"Totaal WOZ-objecten";"aantal";"120132";"126548";"132742";"140148";"144026";"149356";"153221";"156689";"158736";"161730";"164892";"167811";"171241";"174396";"177665"
"Totaal";"Flevoland (PV)";"WOZ-objecten woningen";"aantal";"105261";"110777";"116090";"123076";"126720";"130984";"134296";"136870";"138856";"140813";"143468";"146152";"149150";"151419";"154117"
