"Waardeklasse WOZ-objecten";"Perioden";"Regio's";"Totaal WOZ-objecten (aantal)";"WOZ-objecten woningen (aantal)";"Recreatiewoningen en overige woningen (aantal)";"Niet-woningen; gedeeltelijk bewoond (aantal)";"Niet-woningen; niet bewoond (aantal)"
"Totaal";"1997";"Nederland";" 7319130";" 6216391";"  287704";"  171839";"  643196"
"Totaal";"1998";"Nederland";" 7467080";" 6324240";"  325567";"  170744";"  646529"
"Totaal";"1999";"Nederland";" 7607508";" 6425332";"  351556";"  169041";"  661579"
"Totaal";"2000";"Nederland";" 7720019";" 6520910";"  350756";"  166448";"  681905"
"Totaal";"2001";"Nederland";" 7811179";" 6607835";"  372925";"  148088";"  682331"
"Totaal";"2002";"Nederland";" 7888733";" 6657513";"  389054";"  146556";"  695610"
"Totaal";"2003";"Nederland";" 7950128";" 6715556";"  391697";"  143115";"  699760"
"Totaal";"2004";"Nederland";" 8009421";" 6765031";"  396287";"  140416";"  707687"
"Totaal";"2005";"Nederland";" 8065373";" 6836397";"  400492";"  126222";"  702262"
"Totaal";"2006";"Nederland";" 8131187";" 6898824";"  406626";"  122039";"  703698"
"Totaal";"2007";"Nederland";" 8202867";" 6976078";"  408057";"  108674";"  710058"
"Totaal";"2008";"Nederland";" 8277360";" 7043736";"  412658";"   97363";"  723603"
"Totaal";"2009";"Nederland";" 8355947";" 7113370";"  411763";"   95490";"  735324"
"Totaal";"2010*";"Nederland";" 8402000";" 7149037";"  414609";"   94722";"  743632"
"Totaal";"2011*";"Nederland";" 8475939";" 7204367";"  418303";"   93487";"  759782"
"Totaal";"1997";"Groningen (PV)";"  277258";"  232838";"   12039";"    7390";"   24991"
"Totaal";"1998";"Groningen (PV)";"  281141";"  235926";"   13527";"    7627";"   24061"
"Totaal";"1999";"Groningen (PV)";"  285135";"  238103";"   13730";"    7572";"   25730"
"Totaal";"2000";"Groningen (PV)";"  290025";"  239286";"   13886";"    7597";"   29256"
"Totaal";"2001";"Groningen (PV)";"  289036";"  239935";"   17016";"    7772";"   24313"
"Totaal";"2002";"Groningen (PV)";"  290922";"  240664";"   17834";"    7725";"   24699"
"Totaal";"2003";"Groningen (PV)";"  291591";"  241120";"   17991";"    7607";"   24873"
"Totaal";"2004";"Groningen (PV)";"  291380";"  241827";"   18019";"    7464";"   24070"
"Totaal";"2005";"Groningen (PV)";"  292135";"  243872";"   17345";"    6845";"   24073"
"Totaal";"2006";"Groningen (PV)";"  292432";"  244466";"   16968";"    6765";"   24233"
"Totaal";"2007";"Groningen (PV)";"  293564";"  246494";"   16699";"    6443";"   23928"
"Totaal";"2008";"Groningen (PV)";"  294791";"  247378";"   16334";"    6508";"   24571"
