,Onderwerp,Totale woningvoorraad,Totale woningvoorraad,Totale woningvoorraad
,Status van bewoning,Totaal,Bewoonde woningen,Niet bewoonde woningen
Regio's,Perioden,aantal,aantal,aantal
Nederland,2012,7386743,6975208,411535
Nederland,2013,7449298,7055105,394193
Nederland,2014,7535315,7143163,392152
Nederland,2015,7587964,7211229,376735
Nederland,2016,7641323,7276184,365139
Nederland,2017,7686178,7331144,355034
Nederland,2018,7740984,7398054,342930
Nederland,2019,7814912,7469356,345556
Nederland,2020,7891786,7547587,344199
Nederland,2021,7966331,7615576,350755
Nederland,2022,8045580,7704623,340957
Nederland,2023,8125229,7777143,348086
Groningen (PV),2012,265332,250946,14386
Groningen (PV),2013,267466,253549,13917
Groningen (PV),2014,271087,257294,13793
Groningen (PV),2015,272774,259458,13316
Groningen (PV),2016,274719,261641,13078
Groningen (PV),2017,276728,263918,12810
Groningen (PV),2018,277113,264623,12490
Groningen (PV),2019,279662,266736,12926
Groningen (PV),2020,282047,269174,12873
Groningen (PV),2021,285012,272092,12920
Groningen (PV),2022,287568,274319,13249
Groningen (PV),2023,290562,276283,14279
Fryslân (PV),2012,287340,270451,16889
Fryslân (PV),2013,289380,273618,15762
Fryslân (PV),2014,292180,276925,15255
Fryslân (PV),2015,294169,279129,15040
Fryslân (PV),2016,295540,280642,14898
Fryslân (PV),2017,296463,282194,14269
Fryslân (PV),2018,298425,284229,14196
Fryslân (PV),2019,300238,286136,14102
Fryslân (PV),2020,302578,288553,14025
Fryslân (PV),2021,304693,290482,14211
Fryslân (PV),2022,306633,293094,13539
Fryslân (PV),2023,308768,295028,13740
Drenthe (PV),2012,219432,202528,16904
Drenthe (PV),2013,214890,203396,11494
Drenthe (PV),2014,218025,206059,11966
Drenthe (PV),2015,218383,207047,11336
Drenthe (PV),2016,218625,208139,10486
Drenthe (PV),2017,219240,209596,9644
Drenthe (PV),2018,220818,211271,9547
Drenthe (PV),2019,222197,212724,9473
Drenthe (PV),2020,223251,214405,8846
Drenthe (PV),2021,224556,215801,8755
Drenthe (PV),2022,226319,217950,8369
Drenthe (PV),2023,227907,219060,8847
Overijssel (PV),2012,482572,457187,25385
Overijssel (PV),2013,485391,461190,24201
Overijssel (PV),2014,487577,464438,23139
Overijssel (PV),2015,490227,468017,22210
Overijssel (PV),2016,493757,472295,21462
Overijssel (PV),2017,497361,476750,20611
Overijssel (PV),2018,499951,480112,19839
Overijssel (PV),2019,505343,484918,20425
Overijssel (PV),2020,510296,490153,20143
Overijssel (PV),2021,514993,494815,20178
Overijssel (PV),2022,518558,499102,19456
Overijssel (PV),2023,522916,502424,20492
Flevoland (PV),2012,158061,151636,6425
Flevoland (PV),2013,159496,153058,6438
Flevoland (PV),2014,161512,155257,6255
Flevoland (PV),2015,162731,156665,6066
Flevoland (PV),2016,162918,158004,4914
Flevoland (PV),2017,164229,159477,4752
Flevoland (PV),2018,166487,161787,4700
Flevoland (PV),2019,169237,164338,4899
Flevoland (PV),2020,172227,166839,5388
Flevoland (PV),2021,174659,169308,5351
Flevoland (PV),2022,178000,172943,5057
Flevoland (PV),2023,181165,175639,5526
Gelderland (PV),2012,845193,802258,42935
Gelderland (PV),2013,859847,817374,42473
Gelderland (PV),2014,869410,828566,40844
Gelderland (PV),2015,877662,837595,40067
Gelderland (PV),2016,885679,846204,39475
Gelderland (PV),2017,888062,850558,37504
Gelderland (PV),2018,893989,860082,33907
Gelderland (PV),2019,903256,869823,33433
Gelderland (PV),2020,912372,879751,32621
Gelderland (PV),2021,922524,889354,33170
Gelderland (PV),2022,932116,899901,32215
Gelderland (PV),2023,940858,906538,34320
Utrecht (PV),2012,528124,501543,26581
Utrecht (PV),2013,534592,508502,26090
Utrecht (PV),2014,539078,514964,24114
Utrecht (PV),2015,543473,520785,22688
Utrecht (PV),2016,548114,525923,22191
Utrecht (PV),2017,554305,531228,23077
Utrecht (PV),2018,557564,535827,21737
Utrecht (PV),2019,578906,556706,22200
Utrecht (PV),2020,585924,564280,21644
Utrecht (PV),2021,593799,570582,23217
Utrecht (PV),2022,601096,578357,22739
Utrecht (PV),2023,608195,584776,23419
Noord-Holland (PV),2012,1253521,1183925,69596
Noord-Holland (PV),2013,1262787,1194196,68591
Noord-Holland (PV),2014,1278533,1210593,67940
Noord-Holland (PV),2015,1287671,1222844,64827
Noord-Holland (PV),2016,1300094,1236224,63870
Noord-Holland (PV),2017,1307353,1244490,62863
Noord-Holland (PV),2018,1318336,1254690,63646
Noord-Holland (PV),2019,1334099,1268101,65998
Noord-Holland (PV),2020,1348750,1282812,65938
Noord-Holland (PV),2021,1359800,1291510,68290
Noord-Holland (PV),2022,1376949,1309388,67561
Noord-Holland (PV),2023,1392040,1325701,66339
Zuid-Holland (PV),2012,1605446,1508405,97041
Zuid-Holland (PV),2013,1618645,1524334,94311
Zuid-Holland (PV),2014,1636097,1540552,95545
Zuid-Holland (PV),2015,1647422,1555103,92319
Zuid-Holland (PV),2016,1657234,1569603,87631
Zuid-Holland (PV),2017,1666690,1582126,84564
Zuid-Holland (PV),2018,1677634,1597559,80075
Zuid-Holland (PV),2019,1675517,1596204,79313
Zuid-Holland (PV),2020,1692888,1612387,80501
Zuid-Holland (PV),2021,1709692,1626964,82728
