,Onderwerp,Totale woningvoorraad,Totale woningvoorraad,Totale woningvoorraad,Koopwoningen,Koopwoningen,Koopwoningen,Huurwoningen|Totaal huurwoningen,Huurwoningen|Totaal huurwoningen,Huurwoningen|Totaal huurwoningen,Huurwoningen|Eigendom woningcorporatie,Huurwoningen|Eigendom woningcorporatie,Huurwoningen|Eigendom woningcorporatie,Huurwoningen|Eigendom overige verhuurders,Huurwoningen|Eigendom overige verhuurders,Huurwoningen|Eigendom overige verhuurders,Eigendom onbekend,Eigendom onbekend,Eigendom onbekend
,Status van bewoning,Totaal,Bewoonde woningen,Niet bewoonde woningen,Totaal,Bewoonde woningen,Niet bewoonde woningen,Totaal,Bewoonde woningen,Niet bewoonde woningen,Totaal,Bewoonde woningen,Niet bewoonde woningen,Totaal,Bewoonde woningen,Niet bewoonde woningen,Totaal,Bewoonde woningen,Niet bewoonde woningen
Regio's,Perioden,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal
Nederland,2012,7386743,6975208,411535,4182889,4017623,165266,3121980,2922982,198998,2269883,2190987,78896,852097,731995,120102,81874,34603,47271
Nederland,2013,7449298,7055105,394193,4216760,4059105,157655,3171057,2969143,201914,2277246,2197399,79847,893811,771744,122067,61481,26857,34624
Nederland,2014,7535315,7143163,392152,4238259,4087530,150729,3217156,3017118,200038,2275389,2200331,75058,941767,816787,124980,79900,38515,41385
Nederland,2015,7587964,7211229,376735,4266966,4119362,147604,3244238,3057052,187186,2304505,2234114,70391,939733,822938,116795,76760,34815,41945
Nederland,2016,7641323,7276184,365139,4300406,4158379,142027,3256930,3077223,179707,2281742,2218789,62953,975188,858434,116754,83987,40582,43405
Nederland,2017,7686178,7331144,355034,4321868,4189012,132856,3283957,3102723,181234,2273731,2211578,62153,1010226,891145,119081,80353,39409,40944
Nederland,2018,7740984,7398054,342930,4386769,4260602,126167,3275965,3095275,180690,2268383,2207510,60873,1007582,887765,119817,78250,42177,36073
Nederland,2019,7814912,7469356,345556,4487894,4348316,139578,3299639,3102561,197078,2300031,2229352,70679,999608,873209,126399,27379,18479,8900
Nederland,2020,7891786,7547587,344199,4517921,4380084,137837,3357721,3157910,199811,2298885,2229202,69683,1058836,928708,130128,16144,9593,6551
Nederland,2021,7966331,7615576,350755,4549480,4416428,133052,3401779,3189735,212044,2301737,2224222,77515,1100042,965513,134529,15072,9413,5659
Nederland,2022,8045580,7704623,340957,4597518,4467789,129729,3434455,3228496,205959,2305772,2229458,76314,1128683,999038,129645,13607,8338,5269
Nederland,2023,8125229,7777143,348086,4634411,4497516,136895,3479588,3273205,206383,2312981,2237360,75621,1166607,1035845,130762,11230,6422,4808
Groningen (PV),2012,265332,250946,14386,148239,142846,5393,113659,106455,7204,80729,77519,3210,32930,28936,3994,3434,1645,1789
Groningen (PV),2013,267466,253549,13917,148656,143487,5169,116356,109064,7292,81662,78300,3362,34694,30764,3930,2454,998,1456
Groningen (PV),2014,271087,257294,13793,148758,143726,5032,119653,112217,7436,82403,79069,3334,37250,33148,4102,2676,1351,1325
Groningen (PV),2015,272774,259458,13316,148949,144116,4833,121738,114295,7443,85546,81739,3807,36192,32556,3636,2087,1047,1040
Groningen (PV),2016,274719,261641,13078,149548,144866,4682,122718,115489,7229,84886,81304,3582,37832,34185,3647,2453,1286,1167
Groningen (PV),2017,276728,263918,12810,150040,145709,4331,124247,117099,7148,84418,81093,3325,39829,36006,3823,2441,1110,1331
Groningen (PV),2018,277113,264623,12490,151975,147923,4052,122368,115213,7155,82673,79438,3235,39695,35775,3920,2770,1487,1283
Groningen (PV),2019,279662,266736,12926,154284,149799,4485,124154,116393,7761,83606,79966,3640,40548,36427,4121,1224,544,680
Groningen (PV),2020,282047,269174,12873,154584,150147,4437,126577,118707,7870,83182,79696,3486,43395,39011,4384,886,320,566
Groningen (PV),2021,285012,272092,12920,154924,150749,4175,129577,121030,8547,82335,78566,3769,47242,42464,4778,511,313,198
Groningen (PV),2022,287568,274319,13249,156070,151817,4253,130807,122072,8735,82121,78374,3747,48686,43698,4988,691,430,261
