Perioden,Regio's,Gemiddelde woningwaarde (1 000 euro)
1997,Nederland,79
1998,Nederland,79
1999,Nederland,80
2000,Nederland,80
2001,Nederland,131
2002,Nederland,132
2003,Nederland,133
2004,Nederland,134
2005,Nederland,200
2006,Nederland,201
2007,Nederland,216
2008,Nederland,232
2009,Nederland,241
2010,Nederland,242
2011,Nederland,236
2012,Nederland,232
2013,Nederland,223
2014,Nederland,211
2015,Nederland,206
2016,Nederland,208
2017,Nederland,217
2018**,Nederland,230
2019*,Nederland,248
2020*,Nederland,270
1997,Groningen (PV),57
1998,Groningen (PV),58
1999,Groningen (PV),58
2000,Groningen (PV),59
2001,Groningen (PV),87
2002,Groningen (PV),88
2003,Groningen (PV),89
2004,Groningen (PV),90
2005,Groningen (PV),141
2006,Groningen (PV),141
2007,Groningen (PV),158
2008,Groningen (PV),174
2009,Groningen (PV),179
2010,Groningen (PV),180
2011,Groningen (PV),178
2012,Groningen (PV),174
2013,Groningen (PV),168
2014,Groningen (PV),159
2015,Groningen (PV),154
2016,Groningen (PV),154
2017,Groningen (PV),157
2018**,Groningen (PV),165
2019*,Groningen (PV),166
2020*,Groningen (PV),186
1997,Friesland (PV),57
1998,Friesland (PV),58
1999,Friesland (PV),59
2000,Friesland (PV),60
2001,Friesland (PV),100
2002,Friesland (PV),100
2003,Friesland (PV),102
2004,Friesland (PV),102
2005,Friesland (PV),158
2006,Friesland (PV),159
2007,Friesland (PV),177
2008,Friesland (PV),191
2009,Friesland (PV),197
2010,Friesland (PV),197
2011,Friesland (PV),195
2012,Friesland (PV),190
2013,Friesland (PV),180
2014,Friesland (PV),169
2015,Friesland (PV),163
2016,Friesland (PV),164
2017,Friesland (PV),169
2018**,Friesland (PV),176
2019*,Friesland (PV),186
2020*,Friesland (PV),198
1997,Drenthe (PV),73
1998,Drenthe (PV),74
1999,Drenthe (PV),74
2000,Drenthe (PV),75
2001,Drenthe (PV),116
2002,Drenthe (PV),117
2003,Drenthe (PV),118
2004,Drenthe (PV),118
2005,Drenthe (PV),176
2006,Drenthe (PV),177
2007,Drenthe (PV),193
2008,Drenthe (PV),206
2009,Drenthe (PV),214
2010,Drenthe (PV),215
2011,Drenthe (PV),211
2012,Drenthe (PV),207
2013,Drenthe (PV),198
2014,Drenthe (PV),186
2015,Drenthe (PV),181
2016,Drenthe (PV),180
2017,Drenthe (PV),185
2018**,Drenthe (PV),190
2019*,Drenthe (PV),201
2020*,Drenthe (PV),214
1997,Overijssel (PV),72
1998,Overijssel (PV),72
1999,Overijssel (PV),73
2000,Overijssel (PV),73
2001,Overijssel (PV),119
2002,Overijssel (PV),120
2003,Overijssel (PV),121
2004,Overijssel (PV),122
2005,Overijssel (PV),185
2006,Overijssel (PV),186
2007,Overijssel (PV),201
2008,Overijssel (PV),214
2009,Overijssel (PV),220
2010,Overijssel (PV),222
2011,Overijssel (PV),218
2012,Overijssel (PV),213
2013,Overijssel (PV),207
2014,Overijssel (PV),195
2015,Overijssel (PV),191
2016,Overijssel (PV),192
2017,Overijssel (PV),196
2018**,Overijssel (PV),204
2019*,Overijssel (PV),217
2020*,Overijssel (PV),231
1997,Flevoland (PV),75
1998,Flevoland (PV),76
1999,Flevoland (PV),77
2000,Flevoland (PV),78
2001,Flevoland (PV),113
2002,Flevoland (PV),115
2003,Flevoland (PV),116
2004,Flevoland (PV),117
2005,Flevoland (PV),180
2006,Flevoland (PV),180
2007,Flevoland (PV),191
2008,Flevoland (PV),199
2009,Flevoland (PV),203
2010,Flevoland (PV),203
2011,Flevoland (PV),201
2012,Flevoland (PV),197
2013,Flevoland (PV),191
2014,Flevoland (PV),183
2015,Flevoland (PV),179
2016,Flevoland (PV),180
2017,Flevoland (PV),185
2018**,Flevoland (PV),194
2019*,Flevoland (PV),212
2020*,Flevoland (PV),236
1997,Gelderland (PV),86
1998,Gelderland (PV),86
1999,Gelderland (PV),86
2000,Gelderland (PV),87
2001,Gelderland (PV),145
2002,Gelderland (PV),146
2003,Gelderland (PV),146
2004,Gelderland (PV),147
2005,Gelderland (PV),220
2006,Gelderland (PV),220
2007,Gelderland (PV),236
2008,Gelderland (PV),251
2009,Gelderland (PV),259
2010,Gelderland (PV),260
2011,Gelderland (PV),252
2012,Gelderland (PV),245
2013,Gelderland (PV),235
2014,Gelderland (PV),220
2015,Gelderland (PV),214
2016,Gelderland (PV),214
2017,Gelderland (PV),217
2018**,Gelderland (PV),227
2019*,Gelderland (PV),243
2020*,Gelderland (PV),261
1997,Utrecht (PV),98
1998,Utrecht (PV),99
1999,Utrecht (PV),99
2000,Utrecht (PV),99
2001,Utrecht (PV),161
2002,Utrecht (PV),160
2003,Utrecht (PV),161
2004,Utrecht (PV),161
2005,Utrecht (PV),231
2006,Utrecht (PV),232
2007,Utrecht (PV),249
2008,Utrecht (PV),269
2009,Utrecht (PV),283
2010,Utrecht (PV),286
2011,Utrecht (PV),279
2012,Utrecht (PV),274
2013,Utrecht (PV),264
2014,Utrecht (PV),248
2015,Utrecht (PV),240
2016,Utrecht (PV),241
2017,Utrecht (PV),255
2018**,Utrecht (PV),274
2019*,Utrecht (PV),297
2020*,Utrecht (PV),323
1997,Noord-Holland (PV),79
1998,Noord-Holland (PV),79
1999,Noord-Holland (PV),80
2000,Noord-Holland (PV),80
2001,Noord-Holland (PV),144
2002,Noord-Holland (PV),145
2003,Noord-Holland (PV),145
2004,Noord-Holland (PV),146
2005,Noord-Holland (PV),220
2006,Noord-Holland (PV),221
2007,Noord-Holland (PV),230
2008,Noord-Holland (PV),251
2009,Noord-Holland (PV),267
2010,Noord-Holland (PV),269
2011,Noord-Holland (PV),262
2012,Noord-Holland (PV),258
2013,Noord-Holland (PV),248
2014,Noord-Holland (PV),235
2015,Noord-Holland (PV),232
2016,Noord-Holland (PV),240
2017,Noord-Holland (PV),260
2018**,Noord-Holland (PV),288
2019*,Noord-Holland (PV),318
2020*,Noord-Holland (PV),351
1997,Zuid-Holland (PV),76
1998,Zuid-Holland (PV),76
1999,Zuid-Holland (PV),77
2000,Zuid-Holland (PV),77
