"Gemiddelde WOZ-waarde van woningen op 1 januari; eigendom, regio "
"Onderwerp: |Gemiddelde WOZ-waarde van woningen"
""
"Perioden";"2023**";"2024*"
"Eigendom";"Totaal";"Totaal"
"Regio's";"1 000 euro";"1 000 euro"
"Nederland";"368";"379"
"Groningen (PV)";"268";"279"
"Fryslân (PV)";"278";"290"
"Drenthe (PV)";"295";"307"
"Overijssel (PV)";"326";"344"
"Flevoland (PV)";"348";"362"
"Gelderland (PV)";"365";"380"
"Utrecht (PV)";"448";"450"
"Noord-Holland (PV)";"461";"462"
"Zuid-Holland (PV)";"359";"373"
"Zeeland (PV)";"282";"304"
"Noord-Brabant (PV)";"370";"385"
"Limburg (PV)";"288";"290"
"Aa en Hunze";"343";"349"
"Aalsmeer";"494";"491"
"Aalten";"313";"331"
"Achtkarspelen";"256";"271"
"Alblasserdam";"324";"343"
"Albrandswaard";"431";"447"
"Alkmaar";"342";"359"
"Almelo";"272";"284"
"Almere";"363";"375"
"Alphen aan den Rijn";"360";"374"
"Alphen-Chaam";"441";"458"
"Altena";"377";"396"
"Ameland";"343";"348"
"Amersfoort";"432";"420"
"Amstelveen";"528";"536"
"Amsterdam";"517";"499"
"Apeldoorn";"378";"382"
"Appingedam";"";""
"Arnhem";"323";"336"
"Assen";"278";"284"
"Asten";"403";"417"
"Baarle-Nassau";"391";"411"
"Baarn";"471";"491"
"Barendrecht";"421";"436"
"Barneveld";"434";"453"
"Beek (L.)";"293";"295"
"Beekdaelen";"304";"306"
"Beemster";"";""
"Beesel";"291";"297"
"Berg en Dal";"349";"371"
"Bergeijk";"432";"474"
"Bergen (L.)";"327";"333"
"Bergen (NH.)";"548";"580"
"Bergen op Zoom";"304";"312"
"Berkelland";"357";"370"
"Bernheze";"428";"457"
"Best";"404";"428"
"Beuningen";"377";"391"
"Beverwijk";"341";"336"
"De Bilt";"580";"580"
"Bladel";"409";"434"
"Blaricum";"843";"858"
"Bloemendaal";"930";"905"
"Bodegraven-Reeuwijk";"434";"449"
"Boekel";"398";"417"
"Borger-Odoorn";"297";"304"
"Borne";"370";"394"
"Borsele";"295";"319"
"Boxmeer";"";""
"Boxtel";"376";"381"
"Breda";"382";"390"
"Brielle";"";""
"Bronckhorst";"419";"438"
"Brummen";"372";"384"
"Brunssum";"222";"224"
"Bunnik";"530";"523"
"Bunschoten";"420";"439"
"Buren";"416";"444"
"Capelle aan den IJssel";"310";"350"
"Castricum";"478";"485"
"Coevorden";"287";"297"
"Cranendonck";"354";"372"
"Cuijk";"";""
"Culemborg";"369";"388"
"Dalfsen";"399";"430"
"Dantumadiel";"291";"309"
"Delft";"322";"336"
"Delfzijl";"";""
"Deurne";"387";"397"
"Deventer";"324";"342"
"Diemen";"429";"428"
"Dijk en Waard";"366";"392"
"Dinkelland";"379";"413"
"Doesburg";"287";"298"
"Doetinchem";"303";"313"
"Dongen";"342";"353"
"Dordrecht";"296";"310"
"Drechterland";"399";"413"
"Drimmelen";"373";"413"
"Dronten";"337";"354"
"Druten";"347";"368"
"Duiven";"346";"354"
"Echt-Susteren";"303";"303"
"Edam-Volendam";"402";"409"
"Ede";"387";"414"
"Eemnes";"518";"526"
"Eemsdelta";"213";"229"
"Eersel";"448";"485"
"Eijsden-Margraten";"378";"385"
"Eindhoven";"360";"363"
"Elburg";"345";"363"
"Emmen";"240";"251"
"Enkhuizen";"320";"321"
"Enschede";"284";"296"
"Epe";"439";"449"
"Ermelo";"430";"441"
"Etten-Leur";"343";"355"
"De Fryske Marren";"323";"341"
"Geertruidenberg";"329";"346"
"Geldrop-Mierlo";"379";"389"
"Gemert-Bakel";"386";"407"
"Gennep";"348";"352"
"Gilze en Rijen";"341";"368"
"Goeree-Overflakkee";"347";"362"
"Goes";"303";"321"
"Goirle";"410";"425"
