"Gemiddelde WOZ-waarde van woningen op 1 januari; eigendom, regio "
"Onderwerp: |Gemiddelde WOZ-waarde van woningen"
""
"Perioden";"2019";"2020";"2021";"2022";"2023**";"2024*"
"Eigendom";"Totaal";"Totaal";"Totaal";"Totaal";"Totaal";"Totaal"
"Regio's";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro";"1 000 euro"
"Nederland";"250";"271";"290";"317";"368";"379"
"Groningen (PV)";"177";"190";"205";"228";"268";"279"
"Fryslân (PV)";"190";"202";"217";"241";"278";"290"
"Drenthe (PV)";"203";"215";"230";"255";"295";"307"
"Overijssel (PV)";"221";"235";"251";"280";"326";"344"
"Flevoland (PV)";"218";"241";"262";"292";"348";"362"
"Gelderland (PV)";"246";"263";"281";"310";"365";"380"
"Utrecht (PV)";"301";"326";"349";"382";"448";"450"
"Noord-Holland (PV)";"318";"350";"368";"394";"461";"462"
"Zuid-Holland (PV)";"236";"261";"282";"311";"359";"373"
"Zeeland (PV)";"205";"215";"228";"248";"282";"304"
"Noord-Brabant (PV)";"260";"278";"295";"323";"370";"385"
"Limburg (PV)";"203";"218";"231";"246";"288";"290"
"Aa en Hunze";"241";"257";"271";"298";"343";"349"
"Aalsmeer";"337";"361";"383";"427";"494";"491"
"Aalten";"209";"223";"238";"265";"313";"331"
"Achtkarspelen";"182";"192";"206";"226";"256";"271"
"Alblasserdam";"217";"234";"252";"274";"324";"343"
"Albrandswaard";"286";"311";"332";"366";"431";"447"
"Alkmaar";"221";"243";"261";"287";"342";"359"
"Almelo";"170";"184";"198";"224";"272";"284"
"Almere";"222";"251";"276";"310";"363";"375"
"Alphen aan den Rijn";"246";"264";"282";"309";"360";"374"
"Alphen-Chaam";"333";"351";"372";"402";"441";"458"
"Altena";"257";"273";"291";"320";"377";"396"
"Ameland";"246";"246";"263";"310";"343";"348"
"Amersfoort";"283";"306";"330";"367";"432";"420"
"Amstelveen";"384";"420";"442";"470";"528";"536"
"Amsterdam";"375";"416";"423";"433";"517";"499"
"Apeldoorn";"245";"263";"278";"306";"378";"382"
"Appingedam";"143";"155";"";"";"";""
"Arnhem";"206";"221";"240";"265";"323";"336"
"Assen";"184";"195";"210";"237";"278";"284"
"Asten";"299";"321";"331";"364";"403";"417"
"Baarle-Nassau";"298";"316";"337";"361";"391";"411"
"Baarn";"316";"343";"373";"410";"471";"491"
"Barendrecht";"288";"314";"336";"367";"421";"436"
"Barneveld";"297";"317";"339";"376";"434";"453"
"Beek (L.)";"205";"223";"238";"252";"293";"295"
"Beekdaelen";"213";"230";"245";"263";"304";"306"
"Beemster";"369";"405";"429";"";"";""
"Beesel";"201";"220";"238";"251";"291";"297"
"Berg en Dal";"244";"259";"276";"304";"349";"371"
"Bergeijk";"311";"325";"346";"385";"432";"474"
"Bergen (L.)";"229";"247";"262";"281";"327";"333"
"Bergen (NH.)";"381";"414";"439";"478";"548";"580"
"Bergen op Zoom";"221";"233";"249";"270";"304";"312"
"Berkelland";"241";"255";"273";"298";"357";"370"
"Bernheze";"306";"326";"333";"374";"428";"457"
"Best";"292";"308";"321";"359";"404";"428"
"Beuningen";"251";"271";"291";"329";"377";"391"
"Beverwijk";"214";"239";"259";"286";"341";"336"
"De Bilt";"394";"421";"446";"473";"580";"580"
"Bladel";"293";"310";"331";"366";"409";"434"
"Blaricum";"590";"636";"686";"730";"843";"858"
"Bloemendaal";"681";"735";"775";"829";"930";"905"
"Bodegraven-Reeuwijk";"307";"330";"352";"381";"434";"449"
"Boekel";"285";"304";"309";"344";"398";"417"
"Borger-Odoorn";"197";"209";"227";"253";"297";"304"
"Borne";"246";"261";"280";"313";"370";"394"
"Borsele";"222";"232";"242";"264";"295";"319"
"Boxmeer";"250";"256";"266";"";"";""
"Boxtel";"267";"284";"298";"324";"376";"381"
"Breda";"271";"292";"313";"336";"382";"390"
"Brielle";"237";"258";"277";"306";"";""
"Bronckhorst";"272";"290";"303";"349";"419";"438"
