"WOZ-objecten naar waardeklasse; 1997 - 2011"
""
"";"";"";"";"Perioden"
"Waardeklasse WOZ-objecten";"Regio's";"Onderwerp";"";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010*";"2011*"
"Totaal";"Noord-Nederland (LD)";"Totaal WOZ-objecten";"aantal";"785436";"800805";"814959";"827460";"833143";"842262";"847934";"852759";"857275";"862002";"869111";"877002";"884871";"889234";"894642"
"Totaal";"Noord-Nederland (LD)";"WOZ-objecten woningen";"aantal";"649698";"659919";"668356";"675103";"681632";"686739";"690079";"694649";"702148";"706859";"714246";"720257";"726026";"729186";"731000"
"Totaal";"Noord-Nederland (LD)";"Recreatiewoningen en overige woningen";"aantal";"35112";"41102";"42390";"42983";"47165";"49365";"50104";"50939";"50565";"50866";"50753";"51099";"50957";"51116";"52189"
"Totaal";"Noord-Nederland (LD)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"28698";"28711";"29252";"29147";"27236";"26938";"26451";"26043";"23923";"22567";"21665";"20129";"19624";"19041";"19716"
"Totaal";"Noord-Nederland (LD)";"Niet-woningen; niet bewoond";"aantal";"71928";"71073";"74961";"80227";"77110";"79220";"81300";"81128";"80639";"81710";"82447";"85517";"88264";"89891";"91737"
"Totaal";"Oost-Nederland (LD)";"Totaal WOZ-objecten";"aantal";"1422284";"1457571";"1501588";"1526313";"1547258";"1566113";"1587271";"1603681";"1614702";"1630327";"1645244";"1662788";"1682195";"1695559";"1709704"
"Totaal";"Oost-Nederland (LD)";"WOZ-objecten woningen";"aantal";"1198568";"1225084";"1250483";"1275845";"1296620";"1311995";"1326273";"1339875";"1356944";"1369907";"1385707";"1401386";"1416701";"1426858";"1438146"
"Totaal";"Oost-Nederland (LD)";"Recreatiewoningen en overige woningen";"aantal";"49016";"55285";"60132";"58548";"61825";"63771";"65029";"66599";"67865";"71874";"72127";"73902";"74457";"75054";"75587"
"Totaal";"Oost-Nederland (LD)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"52254";"49589";"49057";"48609";"42213";"41876";"41097";"40318";"36097";"35309";"32193";"29681";"29564";"29304";"28731"
"Totaal";"Oost-Nederland (LD)";"Niet-woningen; niet bewoond";"aantal";"122446";"127613";"141916";"143311";"146600";"148471";"154872";"156889";"153796";"153237";"155217";"157819";"161473";"164343";"167240"
"Totaal";"West-Nederland (LD)";"Totaal WOZ-objecten";"aantal";"3564180";"3627041";"3681121";"3733273";"3773112";"3805104";"3830971";"3856313";"3879002";"3909246";"3941116";"3977261";"4008092";"4027384";"4062728"
"Totaal";"West-Nederland (LD)";"WOZ-objecten woningen";"aantal";"3049198";"3095239";"3140984";"3177870";"3222904";"3249875";"3280226";"3303492";"3334538";"3362366";"3397699";"3430247";"3462848";"3476778";"3505934"
"Totaal";"West-Nederland (LD)";"Recreatiewoningen en overige woningen";"aantal";"144916";"164702";"176921";"183861";"185598";"188367";"188868";"190624";"191985";"194384";"194854";"196658";"195630";"197899";"198372"
"Totaal";"West-Nederland (LD)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"42575";"44666";"44088";"42689";"37661";"37203";"36206";"35654";"31925";"30932";"25383";"22737";"20522";"21517";"19960"
"Totaal";"West-Nederland (LD)";"Niet-woningen; niet bewoond";"aantal";"327491";"322434";"319128";"328853";"326949";"329659";"325671";"326543";"320554";"321564";"323180";"327619";"329092";"331190";"338462"
"Totaal";"Zuid-Nederland (LD)";"Totaal WOZ-objecten";"aantal";"1547230";"1581663";"1609840";"1632973";"1657666";"1675254";"1683952";"1696668";"1714394";"1729612";"1747396";"1760309";"1780789";"1789823";"1808865"
"Totaal";"Zuid-Nederland (LD)";"WOZ-objecten woningen";"aantal";"1318927";"1343998";"1365509";"1392092";"1406679";"1408904";"1418978";"1427015";"1442767";"1459692";"1478426";"1491846";"1507795";"1516215";"1529287"
"Totaal";"Zuid-Nederland (LD)";"Recreatiewoningen en overige woningen";"aantal";"58660";"64478";"72113";"65364";"78337";"87551";"87696";"88125";"90077";"89502";"90323";"90999";"90719";"90540";"92155"
"Totaal";"Zuid-Nederland (LD)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"48312";"47778";"46644";"46003";"40978";"40539";"39361";"38401";"34277";"33231";"29433";"24816";"25780";"24860";"25080"
"Totaal";"Zuid-Nederland (LD)";"Niet-woningen; niet bewoond";"aantal";"121331";"125409";"125574";"129514";"131672";"138260";"137917";"143127";"147273";"147187";"149214";"152648";"156495";"158208";"162343"
"Totaal";"Leeuwarden (SG)";"Totaal WOZ-objecten";"aantal";"";"";"";"76379";"76638";"77806";"78609";"79227";"80417";"81138";"82799";"84030";"84717";"85579";"86305"
"Totaal";"Leeuwarden (SG)";"WOZ-objecten woningen";"aantal";"";"";"";"65513";"66058";"66912";"67327";"67762";"69214";"69890";"70857";"71662";"72176";"72385";"72689"
"Totaal";"Leeuwarden (SG)";"Recreatiewoningen en overige woningen";"aantal";"";"";"";"3464";"3219";"3172";"3292";"3309";"3327";"3354";"3355";"3513";"3521";"3576";"3596"
"Totaal";"Leeuwarden (SG)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"";"";"";"1936";"1653";"1611";"1552";"1574";"1133";"923";"1208";"1178";"1161";"1166";"1164"
"Totaal";"Leeuwarden (SG)";"Niet-woningen; niet bewoond";"aantal";"";"";"";"5466";"5708";"6111";"6438";"6582";"6743";"6971";"7379";"7677";"7859";"8452";"8856"
"Totaal";"Maastricht (SG)";"Totaal WOZ-objecten";"aantal";"";"";"";"91187";"91772";"93200";"93324";"93619";"94430";"94088";"95216";"95386";"96160";"96487";"96502"
"Totaal";"Maastricht (SG)";"WOZ-objecten woningen";"aantal";"";"";"";"78608";"79099";"79552";"79930";"80207";"80728";"81339";"82188";"82452";"83062";"83364";"83742"
"Totaal";"Maastricht (SG)";"Recreatiewoningen en overige woningen";"aantal";"";"";"";"4956";"5067";"5055";"4710";"4517";"4572";"4568";"4499";"4436";"4482";"4457";"4186"
"Totaal";"Maastricht (SG)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"";"";"";"1991";"1817";"1812";"1792";"1531";"1408";"1234";"1098";"1048";"1027";"1072";"1061"
"Totaal";"Maastricht (SG)";"Niet-woningen; niet bewoond";"aantal";"";"";"";"5632";"5789";"6781";"6892";"7364";"7722";"6947";"7431";"7450";"7589";"7594";"7513"
"Totaal";"Leeuwarden (GA)";"Totaal WOZ-objecten";"aantal";"";"";"";"47605";"47478";"48178";"48639";"49108";"50414";"51090";"52130";"52822";"53277";"53736";"54086"
"Totaal";"Leeuwarden (GA)";"WOZ-objecten woningen";"aantal";"";"";"";"40974";"41003";"41595";"41793";"42154";"43330";"43815";"44636";"45154";"45565";"45633";"45830"
"Totaal";"Leeuwarden (GA)";"Recreatiewoningen en overige woningen";"aantal";"";"";"";"2587";"2327";"2326";"2435";"2457";"2458";"2477";"2381";"2461";"2428";"2438";"2453"
"Totaal";"Leeuwarden (GA)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"";"";"";"577";"542";"492";"434";"456";"365";"344";"310";"295";"287";"292";"282"
"Totaal";"Leeuwarden (GA)";"Niet-woningen; niet bewoond";"aantal";"";"";"";"3467";"3606";"3765";"3977";"4041";"4261";"4454";"4803";"4912";"4997";"5373";"5521"
"Totaal";"Maastricht (GA)";"Totaal WOZ-objecten";"aantal";"";"";"";"63298";"63736";"64125";"64076";"64597";"64852";"65049";"65558";"65616";"65898";"66100";"65875"
"Totaal";"Maastricht (GA)";"WOZ-objecten woningen";"aantal";"";"";"";"54069";"54391";"54731";"55010";"55131";"55407";"55606";"56150";"56302";"56600";"56801";"57039"
"Totaal";"Maastricht (GA)";"Recreatiewoningen en overige woningen";"aantal";"";"";"";"4492";"4565";"4553";"4206";"4023";"4078";"4066";"4021";"3977";"4027";"3979";"3720"
"Totaal";"Maastricht (GA)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"";"";"";"967";"930";"923";"908";"641";"608";"595";"567";"526";"516";"508";"498"
"Totaal";"Maastricht (GA)";"Niet-woningen; niet bewoond";"aantal";"";"";"";"3770";"3850";"3918";"3952";"4802";"4759";"4782";"4820";"4811";"4755";"4812";"4618"
"Minder dan 50 000 euro";"Noord-Nederland (LD)";"Totaal WOZ-objecten";"aantal";"366601";"367712";"369090";"367966";"148763";"150139";"148458";"148485";"71314";"71925";"68638";"68659";"68987";"67927";"67970"
"Minder dan 50 000 euro";"Noord-Nederland (LD)";"WOZ-objecten woningen";"aantal";"297747";"297581";"297687";"295908";"85199";"84197";"81762";"80994";"8458";"8271";"5449";"4536";"4252";"3504";"3178"
"Minder dan 50 000 euro";"Noord-Nederland (LD)";"Recreatiewoningen en overige woningen";"aantal";"26905";"31484";"32622";"32845";"32112";"33995";"34100";"34363";"32662";"32498";"31631";"31036";"30802";"30807";"30487"
"Minder dan 50 000 euro";"Noord-Nederland (LD)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"3782";"3653";"3784";"3695";"1119";"1096";"1058";"1030";"873";"877";"720";"660";"654";"603";"526"
"Minder dan 50 000 euro";"Noord-Nederland (LD)";"Niet-woningen; niet bewoond";"aantal";"38167";"34994";"34997";"35518";"30333";"30851";"31538";"32098";"29321";"30279";"30838";"32427";"33279";"33013";"33779"
"Minder dan 50 000 euro";"Oost-Nederland (LD)";"Totaal WOZ-objecten";"aantal";"375807";"378195";"380793";"383367";"141835";"144808";"149952";"151933";"110105";"111529";"109930";"108478";"110886";"106409";"108257"
"Minder dan 50 000 euro";"Oost-Nederland (LD)";"WOZ-objecten woningen";"aantal";"273165";"273370";"274878";"279013";"46233";"45197";"45086";"44758";"10836";"11341";"9359";"7105";"8135";"5510";"5635"
"Minder dan 50 000 euro";"Oost-Nederland (LD)";"Recreatiewoningen en overige woningen";"aantal";"40555";"48253";"49032";"48205";"47151";"49181";"49870";"50848";"48638";"51732";"50907";"51669";"52131";"51867";"52507"
"Minder dan 50 000 euro";"Oost-Nederland (LD)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"6422";"3357";"2883";"2853";"1234";"1385";"1396";"1121";"774";"775";"660";"618";"655";"422";"524"
"Minder dan 50 000 euro";"Oost-Nederland (LD)";"Niet-woningen; niet bewoond";"aantal";"55665";"53215";"54000";"53296";"47217";"49045";"53600";"55206";"49857";"47681";"49004";"49086";"49965";"48610";"49591"
"Minder dan 50 000 euro";"West-Nederland (LD)";"Totaal WOZ-objecten";"aantal";"1141725";"1158890";"1158892";"1162351";"430915";"440364";"439739";"437351";"262392";"264570";"257708";"250816";"245559";"238089";"244027"
"Minder dan 50 000 euro";"West-Nederland (LD)";"WOZ-objecten woningen";"aantal";"873104";"882966";"882092";"882123";"192898";"190567";"191473";"188353";"34271";"34996";"33937";"28994";"24630";"22419";"22060"
"Minder dan 50 000 euro";"West-Nederland (LD)";"Recreatiewoningen en overige woningen";"aantal";"123347";"141042";"151234";"155533";"152035";"154445";"153961";"155244";"151634";"153438";"152646";"152391";"152513";"152416";"153979"
"Minder dan 50 000 euro";"West-Nederland (LD)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"4155";"4177";"3982";"3848";"1900";"2041";"1955";"2017";"1291";"1217";"756";"677";"559";"422";"448"
