id,occurred_at,city,latitude,longitude,depth,magnitude,gasfield_id,created_at,updated_at,knmi_guid,region,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,1986-12-26 07:47:00,Assen,52.992,6.548,1.0,2.8,,,,,Assen,66.0,68.0,68.0,69.0,94.0,95.0,97.0,98.0,148.0,149.0,161.0,173.0,181.0,182.0,181.0,177.0,170.0,162.0,159.0,159.0,168.0,172.0,184.0,195.0,210.0,237.0,278.0,284.0
4,1991-02-15 02:11:00,Emmen,52.771,6.914,3.0,2.2,,,,,Emmen,69.0,69.0,70.0,70.0,100.0,100.0,101.0,102.0,151.0,152.0,167.0,178.0,185.0,185.0,177.0,173.0,164.0,153.0,147.0,148.0,147.0,150.0,163.0,174.0,186.0,208.0,240.0,251.0
6,1991-08-08 04:01:00,Assen,52.965,6.573,3.0,2.7,,,,,Assen,66.0,68.0,68.0,69.0,94.0,95.0,97.0,98.0,148.0,149.0,161.0,173.0,181.0,182.0,181.0,177.0,170.0,162.0,159.0,159.0,168.0,172.0,184.0,195.0,210.0,237.0,278.0,284.0
9,1992-05-24 18:00:00,Assen,52.956,6.562,3.0,1.6,,,,,Assen,66.0,68.0,68.0,69.0,94.0,95.0,97.0,98.0,148.0,149.0,161.0,173.0,181.0,182.0,181.0,177.0,170.0,162.0,159.0,159.0,168.0,172.0,184.0,195.0,210.0,237.0,278.0,284.0
11,1992-07-22 23:23:00,Assen,52.961,6.57,3.0,2.6,,,,,Assen,66.0,68.0,68.0,69.0,94.0,95.0,97.0,98.0,148.0,149.0,161.0,173.0,181.0,182.0,181.0,177.0,170.0,162.0,159.0,159.0,168.0,172.0,184.0,195.0,210.0,237.0,278.0,284.0
12,1992-12-06 20:34:00,Loppersum,53.32,6.74,3.0,1.3,1.0,,,,Loppersum,49.0,50.0,50.0,50.0,87.0,87.0,88.0,88.0,139.0,140.0,156.0,171.0,177.0,177.0,174.0,171.0,165.0,152.0,145.0,143.0,144.0,149.0,161.0,175.0,,,,
24,1993-08-23 00:51:00,Appingedam,53.332,6.848,3.0,0.7,1.0,,,,Appingedam,52.0,52.0,52.0,53.0,74.0,74.0,76.0,77.0,117.0,118.0,137.0,145.0,150.0,152.0,156.0,154.0,149.0,142.0,134.0,131.0,133.0,138.0,143.0,155.0,,,,
27,1993-09-25 00:21:00,Slochteren,53.208,6.812,3.0,0.9,1.0,,,,Slochteren,62.0,62.0,63.0,64.0,107.0,108.0,109.0,109.0,170.0,171.0,183.0,200.0,205.0,210.0,204.0,195.0,189.0,184.0,185.0,187.0,187.0,,,,,,,
28,1993-11-23 12:31:00,Slochteren,53.202,6.82,3.0,2.2,1.0,,,,Slochteren,62.0,62.0,63.0,64.0,107.0,108.0,109.0,109.0,170.0,171.0,183.0,200.0,205.0,210.0,204.0,195.0,189.0,184.0,185.0,187.0,187.0,,,,,,,
34,1994-03-06 20:02:00,Appingedam,53.323,6.805,3.0,1.0,1.0,,,,Appingedam,52.0,52.0,52.0,53.0,74.0,74.0,76.0,77.0,117.0,118.0,137.0,145.0,150.0,152.0,156.0,154.0,149.0,142.0,134.0,131.0,133.0,138.0,143.0,155.0,,,,
45,1994-06-26 17:44:00,Appingedam,53.335,6.852,3.0,1.0,1.0,,,,Appingedam,52.0,52.0,52.0,53.0,74.0,74.0,76.0,77.0,117.0,118.0,137.0,145.0,150.0,152.0,156.0,154.0,149.0,142.0,134.0,131.0,133.0,138.0,143.0,155.0,,,,
52,1994-08-16 14:37:00,Anloo,53.061,6.698,3.0,2.3,,,,,Anloo,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1994-09-23 19:50:00,Schoonebeek,52.67,6.88,3.0,1.3,,,,,Schoonebeek,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1995-01-24 09:38:00,Delfzijl,53.316,6.897,3.0,1.3,1.0,,,,Delfzijl,47.0,47.0,48.0,49.0,77.0,77.0,78.0,78.0,116.0,118.0,133.0,144.0,148.0,148.0,145.0,142.0,138.0,131.0,124.0,121.0,121.0,126.0,131.0,138.0,,,,
64,1995-04-26 17:35:00,Zuidlaren,53.084,6.668,3.0,0.7,,,,,Zuidlaren,94.0,98.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,
68,1995-07-15 16:05:00,Slochteren,53.206,6.823,3.0,1.0,1.0,,,,Slochteren,62.0,62.0,63.0,64.0,107.0,108.0,109.0,109.0,170.0,171.0,183.0,200.0,205.0,210.0,204.0,195.0,189.0,184.0,185.0,187.0,187.0,,,,,,,
70,1995-09-13 21:34:00,Loppersum,53.335,6.728,3.0,1.1,1.0,,,,Loppersum,49.0,50.0,50.0,50.0,87.0,87.0,88.0,88.0,139.0,140.0,156.0,171.0,177.0,177.0,174.0,171.0,165.0,152.0,145.0,143.0,144.0,149.0,161.0,175.0,,,,
71,1995-10-18 00:34:00,Peize,53.129,6.492,3.0,1.3,,,,,Peize,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1996-02-24 03:31:00,Emmen,52.761,6.908,3.0,1.8,,,,,Emmen,69.0,69.0,70.0,70.0,100.0,100.0,101.0,102.0,151.0,152.0,167.0,178.0,185.0,185.0,177.0,173.0,164.0,153.0,147.0,148.0,147.0,150.0,163.0,174.0,186.0,208.0,240.0,251.0
86,1996-03-16 04:16:00,Appingedam,53.298,6.848,3.0,1.4,1.0,,,,Appingedam,52.0,52.0,52.0,53.0,74.0,74.0,76.0,77.0,117.0,118.0,137.0,145.0,150.0,152.0,156.0,154.0,149.0,142.0,134.0,131.0,133.0,138.0,143.0,155.0,,,,
91,1996-04-15 03:41:00,Ten Boer,53.289,6.688,3.0,0.9,1.0,,,,Ten Boer,66.0,67.0,67.0,68.0,97.0,98.0,98.0,98.0,158.0,158.0,174.0,185.0,194.0,195.0,192.0,187.0,183.0,174.0,165.0,165.0,169.0,175.0,,,,,,
101,1996-08-06 13:38:00,Emmen,52.755,6.917,3.0,1.6,,,,,Emmen,69.0,69.0,70.0,70.0,100.0,100.0,101.0,102.0,151.0,152.0,167.0,178.0,185.0,185.0,177.0,173.0,164.0,153.0,147.0,148.0,147.0,150.0,163.0,174.0,186.0,208.0,240.0,251.0
106,1996-09-02 05:20:00,Roden,53.147,6.422,3.0,2.1,,,,,Roden,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,1997-01-24 04:00:00,Zuidlaren,53.079,6.678,3.0,0.6,,,,,Zuidlaren,94.0,98.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,
129,1997-04-01 00:34:00,Emmen,52.768,6.873,3.0,1.4,,,,,Emmen,69.0,69.0,70.0,70.0,100.0,100.0,101.0,102.0,151.0,152.0,167.0,178.0,185.0,185.0,177.0,173.0,164.0,153.0,147.0,148.0,147.0,150.0,163.0,174.0,186.0,208.0,240.0,251.0
