region,period,total,total_occupied,total_not_occupied,oppucation_ratio
Loppersum,2012-01-01,4478.0,4266.0,212.0,0.9526574363555158
Loppersum,2013-01-01,4508.0,4309.0,199.0,0.9558562555456964
Loppersum,2014-01-01,4621.0,4319.0,302.0,0.9346461804804156
Loppersum,2015-01-01,4657.0,4350.0,307.0,0.9340777324457804
Loppersum,2016-01-01,4648.0,4340.0,308.0,0.933734939759036
Loppersum,2017-01-01,4627.0,4330.0,297.0,0.9358115409552626
Loppersum,2018-01-01,4687.0,4280.0,407.0,0.9131640708342224
Loppersum,2019-01-01,4698.0,4283.0,415.0,0.9116645381013198
Loppersum,2020-01-01,4687.0,4299.0,388.0,0.917217836569234
Loppersum,2021-01-01,,,,
Loppersum,2022-01-01,,,,
Loppersum,2023-01-01,,,,
