occurred_at,magnitude,depth,latitude,longitude
83,3.2,3.0,53.322,6.8
83,2.6,3.0,53.343,6.885
71,3.2,3.0,53.355,6.774
66,3.4,3.0,53.366,6.782
65,2.4,3.0,53.295,6.835
60,3.1,3.0,53.328,6.81
48,2.2,3.0,53.185,6.821
43,2.0,3.0,53.297,6.907
42,2.6,3.0,53.211,6.803
42,3.5,3.0,53.355,6.719
42,1.9,3.0,53.273,6.909
41,1.4,3.0,53.122,6.655
40,3.4,1.5,52.845,7.064
40,2.3,3.0,53.264,6.844
39,2.6,3.0,53.236,6.705
37,2.3,3.0,53.312,6.953
34,2.1,3.0,53.262,6.733
31,1.5,3.0,53.254,6.666
30,2.8,3.0,53.235,6.73
28,3.1,3.0,53.264,6.857
27,2.8,2.8,53.381,6.75
26,2.3,3.0,53.305,6.77
26,2.6,3.0,53.24,6.838
24,1.4,3.0,53.186,6.9
23,3.0,3.0,53.325,6.735
23,1.8,3.0,53.322,7.015
22,2.0,3.0,53.344,6.837
21,2.7,3.0,53.444,6.705
21,2.0,3.0,53.269,6.977
20,3.0,3.0,53.386,6.798
20,2.5,3.0,53.288,6.85
18,1.7,2.5,53.088,6.863
17,2.8,3.0,53.263,6.677
17,1.5,3.0,53.219,6.906
17,2.4,3.0,53.366,6.675
16,3.2,3.0,53.399,6.698
15,1.5,3.0,53.381,6.661
15,2.3,3.0,52.79,6.924
15,1.9,3.0,53.47,6.783
14,2.4,3.0,53.095,6.734
13,2.0,3.0,53.385,6.716
13,3.1,3.0,53.674,4.497
13,3.4,3.0,53.337,6.66
13,1.5,0.0,53.122,6.943
12,1.8,3.0,53.231,6.762
12,2.0,3.0,53.195,6.766
12,1.6,3.0,53.344,6.938
11,2.5,3.0,52.955,6.605
11,1.7,3.0,53.302,6.625
10,2.5,3.0,53.353,6.808
10,2.3,3.0,53.364,6.863
10,2.2,1.8,53.082,6.795
10,2.1,3.0,53.268,6.631
9,2.1,3.0,53.39,6.643
9,1.7,3.0,53.262,6.998
9,3.6,3.0,53.362,6.7
9,2.8,1.0,52.992,6.588
9,2.4,3.0,53.072,6.768
9,2.8,3.0,52.953,6.572
9,1.2,3.0,53.063,6.813
8,1.5,3.0,53.286,6.669
8,1.9,3.0,53.161,6.795
8,1.2,3.0,53.116,6.842
8,2.5,3.0,53.407,6.777
7,1.8,3.0,53.274,7.071
7,2.3,3.0,53.383,6.727
7,1.8,3.0,53.522,6.633
6,1.3,3.0,53.264,6.747
6,0.7,3.0,53.077,6.693
6,2.6,3.0,52.959,6.585
6,2.7,3.0,53.334,6.613
6,2.7,1.0,53.36,6.653
6,1.8,3.0,53.157,6.901
6,2.5,3.0,53.357,6.902
6,1.5,3.0,53.311,6.749
6,1.5,3.0,53.185,6.618
6,1.6,3.0,53.312,6.56
6,1.5,3.0,53.284,6.737
5,1.0,3.0,53.234,7.036
5,1.4,3.0,53.089,6.768
5,1.2,3.0,53.079,6.586
5,1.2,3.0,53.289,6.705
5,1.6,3.0,52.642,6.803
5,1.4,3.0,53.335,6.795
4,1.8,3.0,53.122,6.496
4,1.5,3.0,53.199,6.702
4,1.5,3.0,53.372,6.713
4,3.5,2.0,52.658,4.713
4,2.0,3.0,52.941,6.61
4,1.8,3.0,52.57,4.55
4,1.6,3.0,53.381,6.946
4,2.3,3.0,53.387,6.818
4,1.5,3.0,53.302,6.33
3,1.6,3.0,53.277,6.598
3,0.9,3.0,53.301,7.013
3,1.1,3.0,53.303,6.68
3,1.4,1.0,53.402,6.577
3,2.5,1.5,52.944,6.56
3,1.7,3.0,53.182,6.667
3,1.2,3.0,53.166,6.942
3,2.0,3.0,53.423,6.793
3,1.0,3.0,53.141,6.792
2,1.2,3.0,52.639,6.881
2,1.4,3.0,53.108,6.543
2,1.0,3.0,53.046,6.8
2,1.3,3.0,52.681,6.88
2,0.8,3.0,52.977,6.608
2,2.5,3.0,52.968,6.45
2,1.4,3.0,53.401,6.841
2,1.7,3.0,53.312,6.308
2,2.0,3.0,52.711,6.75
2,2.0,3.0,53.474,6.923
2,2.2,3.0,52.724,6.738
2,1.9,3.0,53.111,6.505
2,1.5,3.0,53.308,6.152
2,0.9,3.0,53.142,6.742
2,1.0,3.0,53.145,6.83
2,1.3,3.0,52.95,6.627
2,0.7,3.0,53.135,6.609
2,1.0,3.0,53.355,6.993
2,0.8,3.0,53.174,6.962
2,1.8,3.0,52.702,4.625
2,1.1,3.0,53.438,6.913
2,2.3,3.0,52.858,4.821
2,1.4,3.0,53.396,6.748
2,0.8,3.0,53.313,6.518
2,1.3,3.0,53.175,6.529
2,1.4,3.0,53.354,6.96
2,1.4,3.0,53.334,6.343
2,2.5,3.0,52.555,4.588
2,2.3,2.6,52.971,6.413
2,0.9,3.0,53.35,7.005
2,1.8,3.0,53.37,6.845
1,0.8,3.0,53.072,6.653
1,1.3,3.0,53.48,6.758
1,1.2,3.0,53.085,6.78
1,1.8,3.0,53.443,5.913
1,1.4,3.0,53.694,7.377
1,0.7,3.0,53.19,6.332
1,0.9,3.0,53.487,6.695
1,2.3,3.0,52.511,4.847
1,2.5,3.0,53.491,6.617
1,1.8,3.0,53.146,6.122
1,0.9,3.0,52.508,6.563
1,0.7,3.0,52.439,6.916
1,2.5,3.0,52.564,5.011
1,1.9,3.5,53.094,6.752
1,0.9,3.0,53.035,6.838
1,2.3,3.0,53.061,6.698
1,1.6,1.0,51.229,5.107
1,0.5,3.0,53.169,6.727
1,1.7,3.0,53.378,6.857
1,1.0,3.0,53.111,6.152
