region,year,value
Loppersum,1997,49.0
Loppersum,1998,50.0
Loppersum,1999,50.0
Loppersum,2000,50.0
Loppersum,2001,87.0
Loppersum,2002,87.0
Loppersum,2003,88.0
Loppersum,2004,88.0
Loppersum,2005,139.0
Loppersum,2006,140.0
Loppersum,2007,156.0
Loppersum,2008,171.0
Loppersum,2009,177.0
Loppersum,2010,177.0
Loppersum,2011,174.0
Loppersum,2012,171.0
Loppersum,2013,165.0
Loppersum,2014,152.0
Loppersum,2015,145.0
Loppersum,2016,143.0
Loppersum,2017,144.0
Loppersum,2018,149.0
Loppersum,2019,161.0
Loppersum,2020,175.0
Loppersum,2021,
Loppersum,2022,
Loppersum,2023,
Loppersum,2024,
